Wavenumber,Intensity
650.4205,0.001328
652.2841,0.000334
654.1478,0.000330
656.0115,-0.000002
657.8751,0.000584
659.7388,0.001235
661.6025,0.000090
663.4661,0.000605
665.3298,0.002619
667.1935,0.004434
669.0571,0.003572
670.9208,0.001558
672.7845,0.001392
674.6481,0.001764
676.5118,0.001460
678.3755,0.001039
680.2392,0.001330
682.1028,0.001367
683.9665,0.001514
685.8302,0.001932
687.6938,0.001638
689.5575,0.001262
691.4212,0.000946
693.2848,0.001162
695.1485,0.001739
697.0122,0.001682
698.8758,0.001490
700.7395,0.000915
702.6032,0.000459
704.4669,0.000425
706.3305,0.000850
708.1942,0.000834
710.0579,0.000254
711.9215,-0.000105
713.7852,-0.000209
715.6489,0.000270
717.5125,0.001069
719.3762,0.001498
721.2399,0.001326
723.1035,0.000830
724.9672,0.000527
726.8309,0.000411
728.6945,0.000050
730.5582,0.000219
732.4219,0.000799
734.2856,0.000933
736.1492,0.000856
738.0129,0.000905
739.8766,0.000900
741.7402,0.000548
743.6039,0.000429
745.4676,0.000856
747.3312,0.000876
749.1949,0.000450
751.0586,0.000439
752.9222,0.000845
754.7859,0.000893
756.6496,0.000679
758.5132,0.000901
760.3769,0.001071
762.2406,0.000855
764.1043,0.000931
765.9679,0.001090
767.8316,0.000793
769.6953,0.000418
771.5589,0.000479
773.4226,0.000828
775.2863,0.000921
777.1499,0.000975
779.0136,0.001111
780.8773,0.001138
782.7409,0.001004
784.6046,0.001009
786.4683,0.000886
788.3320,0.000716
790.1956,0.000708
792.0593,0.000878
793.9230,0.001219
795.7866,0.001329
797.6503,0.001407
799.5140,0.001320
801.3776,0.000914
803.2413,0.000866
805.1050,0.001137
806.9686,0.001097
808.8323,0.000840
810.6960,0.000658
812.5596,0.000634
814.4233,0.000746
816.2870,0.000882
818.1507,0.000763
820.0143,0.000527
821.8780,0.000286
823.7417,0.000314
825.6053,0.000658
827.4690,0.000698
829.3327,0.000501
831.1963,0.000358
833.0600,0.000217
834.9237,0.000200
836.7873,0.000275
838.6510,0.000139
840.5147,0.000048
842.3784,0.000173
844.2420,0.000167
846.1057,0.000144
847.9694,0.000345
849.8330,0.000468
851.6967,0.000511
853.5604,0.000384
855.4240,0.000275
857.2877,0.000430
859.1514,0.000406
861.0150,0.000196
862.8787,0.000154
864.7424,0.000300
866.6060,0.000273
868.4697,0.000209
870.3334,0.000390
872.1971,0.000521
874.0607,0.000468
875.9244,0.000610
877.7881,0.000799
879.6517,0.000665
881.5154,0.000438
883.3791,0.000428
885.2427,0.000464
887.1064,0.000295
888.9701,0.000327
890.8337,0.000527
892.6974,0.000632
894.5611,0.000700
896.4247,0.000727
898.2884,0.000723
900.1521,0.000774
902.0158,0.000761
903.8794,0.000680
905.7431,0.000631
907.6068,0.000630
909.4704,0.000714
911.3341,0.000737
913.1978,0.000760
915.0614,0.000900
916.9251,0.000915
918.7888,0.000864
920.6524,0.000975
922.5161,0.001049
924.3798,0.001042
926.2435,0.001049
928.1071,0.001013
929.9708,0.000980
931.8345,0.001017
933.6981,0.000994
935.5618,0.000877
937.4255,0.000832
939.2891,0.000953
941.1528,0.001170
943.0165,0.001314
944.8801,0.001273
946.7438,0.001276
948.6075,0.001414
950.4711,0.001379
952.3348,0.001228
954.1985,0.001183
956.0622,0.001274
957.9258,0.001349
959.7895,0.001209
961.6532,0.001026
963.5168,0.001063
965.3805,0.001129
967.2442,0.001123
969.1078,0.001162
970.9715,0.001118
972.8352,0.001089
974.6988,0.001081
976.5625,0.001104
978.4262,0.001206
980.2899,0.001298
982.1535,0.001344
984.0172,0.001305
985.8809,0.001329
987.7445,0.001386
989.6082,0.001397
991.4719,0.001473
993.3355,0.001516
995.1992,0.001526
997.0629,0.001651
998.9265,0.001702
1000.7902,0.001690
1002.6539,0.001774
1004.5175,0.001860
1006.3812,0.001888
1008.2449,0.001980
1010.1086,0.002057
1011.9722,0.002095
1013.8359,0.002131
1015.6996,0.002096
1017.5632,0.002128
1019.4269,0.002256
1021.2906,0.002373
1023.1542,0.002456
1025.0179,0.002454
1026.8816,0.002466
1028.7452,0.002495
1030.6089,0.002529
1032.4726,0.002566
1034.3362,0.002624
1036.1999,0.002711
1038.0636,0.002695
1039.9273,0.002737
1041.7909,0.002860
1043.6546,0.002878
1045.5183,0.002844
1047.3819,0.002796
1049.2456,0.002792
1051.1093,0.002879
1052.9729,0.002896
1054.8366,0.002843
1056.7003,0.002845
1058.5639,0.002844
1060.4276,0.002820
1062.2913,0.002877
1064.1550,0.002961
1066.0186,0.003000
1067.8823,0.003071
1069.7460,0.003106
1071.6096,0.003125
1073.4733,0.003078
1075.3370,0.002946
1077.2006,0.002925
1079.0643,0.002936
1080.9280,0.002920
1082.7916,0.002862
1084.6553,0.002776
1086.5190,0.002752
1088.3826,0.002712
1090.2463,0.002686
1092.1100,0.002683
1093.9737,0.002598
1095.8373,0.002510
1097.7010,0.002426
1099.5647,0.002359
1101.4283,0.002363
1103.2920,0.002327
1105.1557,0.002234
1107.0193,0.002150
1108.8830,0.002072
1110.7467,0.001968
1112.6103,0.001862
1114.4740,0.001738
1116.3377,0.001756
1118.2014,0.001881
1120.0650,0.001805
1121.9287,0.001686
1123.7924,0.001720
1125.6560,0.001676
1127.5197,0.001524
1129.3834,0.001383
1131.2470,0.001287
1133.1107,0.001245
1134.9744,0.001197
1136.8380,0.001172
1138.7017,0.001209
1140.5654,0.001206
1142.4290,0.001159
1144.2927,0.001065
1146.1564,0.000997
1148.0201,0.001004
1149.8837,0.000957
1151.7474,0.000852
1153.6111,0.000720
1155.4747,0.000707
1157.3384,0.000808
1159.2021,0.000787
1161.0657,0.000727
1162.9294,0.000738
1164.7931,0.000732
1166.6567,0.000710
1168.5204,0.000724
1170.3841,0.000687
1172.2477,0.000549
1174.1114,0.000449
1175.9751,0.000469
1177.8388,0.000458
1179.7024,0.000399
1181.5661,0.000363
1183.4298,0.000393
1185.2934,0.000371
1187.1571,0.000318
1189.0208,0.000375
