Wavenumber,Intensity
650.4205,0.001610
652.2841,0.001641
654.1478,0.001830
656.0115,0.001018
657.8751,0.000801
659.7388,0.002341
661.6025,0.001446
663.4661,0.000667
665.3298,0.002106
667.1935,0.003933
669.0571,0.003547
670.9208,0.001623
672.7845,0.001323
674.6481,0.002681
676.5118,0.002770
678.3755,0.002088
680.2392,0.002146
682.1028,0.002481
683.9665,0.002912
685.8302,0.002776
687.6938,0.003088
689.5575,0.004046
691.4212,0.003686
693.2848,0.003148
695.1485,0.002916
697.0122,0.002550
698.8758,0.002189
700.7395,0.001340
702.6032,0.001216
704.4669,0.001956
706.3305,0.001960
708.1942,0.001588
710.0579,0.001124
711.9215,0.000802
713.7852,0.001341
715.6489,0.001904
717.5125,0.001790
719.3762,0.001490
721.2399,0.001384
723.1035,0.001028
724.9672,0.000815
726.8309,0.000880
728.6945,0.001198
730.5582,0.001554
732.4219,0.001720
734.2856,0.001976
736.1492,0.001988
738.0129,0.001599
739.8766,0.001566
741.7402,0.001756
743.6039,0.001895
745.4676,0.001875
747.3312,0.002100
749.1949,0.002403
751.0586,0.002214
752.9222,0.001791
754.7859,0.001881
756.6496,0.002041
758.5132,0.001956
760.3769,0.001946
762.2406,0.002412
764.1043,0.002928
765.9679,0.003171
767.8316,0.003266
769.6953,0.003387
771.5589,0.003763
773.4226,0.004378
775.2863,0.005038
777.1499,0.005794
779.0136,0.006274
780.8773,0.006096
782.7409,0.005469
784.6046,0.004797
786.4683,0.004346
788.3320,0.004083
790.1956,0.004126
792.0593,0.004429
793.9230,0.004964
795.7866,0.005608
797.6503,0.005829
799.5140,0.005493
801.3776,0.004843
803.2413,0.003968
805.1050,0.003131
806.9686,0.002597
808.8323,0.002262
810.6960,0.001824
812.5596,0.001412
814.4233,0.001263
816.2870,0.000971
818.1507,0.000796
820.0143,0.000627
821.8780,0.000436
823.7417,0.000607
825.6053,0.000993
827.4690,0.001100
829.3327,0.000985
831.1963,0.000929
833.0600,0.000839
834.9237,0.000818
836.7873,0.000807
838.6510,0.000609
840.5147,0.000635
842.3784,0.000731
844.2420,0.000740
846.1057,0.000840
847.9694,0.000797
849.8330,0.000792
851.6967,0.001090
853.5604,0.001202
855.4240,0.000953
857.2877,0.000871
859.1514,0.000964
861.0150,0.001034
862.8787,0.001039
864.7424,0.001076
866.6060,0.001240
868.4697,0.001216
870.3334,0.000959
872.1971,0.000922
874.0607,0.001098
875.9244,0.001188
877.7881,0.001184
879.6517,0.001205
881.5154,0.001254
883.3791,0.001410
885.2427,0.001500
887.1064,0.001414
888.9701,0.001358
890.8337,0.001361
892.6974,0.001437
894.5611,0.001509
896.4247,0.001425
898.2884,0.001276
900.1521,0.001361
902.0158,0.001603
903.8794,0.001763
905.7431,0.001678
907.6068,0.001341
909.4704,0.001377
911.3341,0.001757
913.1978,0.001961
915.0614,0.002021
916.9251,0.001930
918.7888,0.001862
920.6524,0.001871
922.5161,0.001828
924.3798,0.001884
926.2435,0.002009
928.1071,0.002088
929.9708,0.002139
931.8345,0.002117
933.6981,0.002137
935.5618,0.002314
937.4255,0.002410
939.2891,0.002426
941.1528,0.002451
943.0165,0.002445
944.8801,0.002652
946.7438,0.002844
948.6075,0.002747
950.4711,0.002646
952.3348,0.002661
954.1985,0.002721
956.0622,0.002816
957.9258,0.002835
959.7895,0.002817
961.6532,0.002845
963.5168,0.002871
965.3805,0.002862
967.2442,0.002941
969.1078,0.003067
970.9715,0.003088
972.8352,0.003096
974.6988,0.003160
976.5625,0.003262
978.4262,0.003363
980.2899,0.003392
982.1535,0.003478
984.0172,0.003597
985.8809,0.003701
987.7445,0.003865
989.6082,0.003993
991.4719,0.004013
993.3355,0.004059
995.1992,0.004230
997.0629,0.004361
998.9265,0.004404
1000.7902,0.004478
1002.6539,0.004623
1004.5175,0.004750
1006.3812,0.004805
1008.2449,0.004858
1010.1086,0.004987
1011.9722,0.005157
1013.8359,0.005199
1015.6996,0.005259
1017.5632,0.005429
1019.4269,0.005641
1021.2906,0.005802
1023.1542,0.005884
1025.0179,0.005918
1026.8816,0.006053
1028.7452,0.006301
1030.6089,0.006588
1032.4726,0.006812
1034.3362,0.006990
1036.1999,0.007269
1038.0636,0.007536
1039.9273,0.007634
1041.7909,0.007707
1043.6546,0.007959
1045.5183,0.008238
1047.3819,0.008491
1049.2456,0.008830
1051.1093,0.009159
1052.9729,0.009442
1054.8366,0.009684
1056.7003,0.009996
1058.5639,0.010370
1060.4276,0.010741
1062.2913,0.011147
1064.1550,0.011495
1066.0186,0.011833
1067.8823,0.012157
1069.7460,0.012417
1071.6096,0.012728
1073.4733,0.013143
1075.3370,0.013537
1077.2006,0.013789
1079.0643,0.014035
1080.9280,0.014199
1082.7916,0.014167
1084.6553,0.014129
1086.5190,0.014040
1088.3826,0.013803
1090.2463,0.013533
1092.1100,0.013272
1093.9737,0.013020
1095.8373,0.012722
1097.7010,0.012385
1099.5647,0.012148
1101.4283,0.011833
1103.2920,0.011363
1105.1557,0.010959
1107.0193,0.010713
1108.8830,0.010532
1110.7467,0.010244
1112.6103,0.009937
1114.4740,0.009693
1116.3377,0.009434
1118.2014,0.009146
1120.0650,0.008855
1121.9287,0.008552
1123.7924,0.008228
1125.6560,0.007940
1127.5197,0.007702
1129.3834,0.007424
1131.2470,0.007156
1133.1107,0.006908
1134.9744,0.006662
1136.8380,0.006458
1138.7017,0.006315
1140.5654,0.006138
1142.4290,0.005907
1144.2927,0.005690
1146.1564,0.005484
1148.0201,0.005308
1149.8837,0.005237
1151.7474,0.005177
1153.6111,0.005077
1155.4747,0.005025
1157.3384,0.005039
1159.2021,0.005094
1161.0657,0.005227
1162.9294,0.005312
1164.7931,0.005232
1166.6567,0.005010
1168.5204,0.004739
1170.3841,0.004522
1172.2477,0.004392
1174.1114,0.004299
1175.9751,0.004220
1177.8388,0.004146
1179.7024,0.004053
1181.5661,0.003966
1183.4298,0.003899
1185.2934,0.003864
1187.1571,0.003832
1189.0208,0.003788
1190.8844,0.003796
1192.7481,0.003747
1194.6118,0.003553
1196.4754,0.003418
1198.3391,0.003392
1200.2028,0.003315
1202.0665,0.003171
1203.9301,0.003048
1205.7938,0.002872
1207.6575,0.002654
1209.5211,0.002487
1211.3848,0.002272
1213.2485,0.001996
1215.1121,0.001788
1216.9758,0.001612
1218.8395,0.001482
1220.7031,0.001324
1222.5668,0.001096
1224.4305,0.001003
1226.2941,0.000956
1228.1578,0.000832
1230.0215,0.000725
1231.8852,0.000713
1233.7488,0.000645
1235.6125,0.000525
1237.4762,0.000521
1239.3398,0.000508
1241.2035,0.000406
1243.0672,0.000354
1244.9308,0.000328
1246.7945,0.000301
1248.6582,0.000366
1250.5218,0.000379
1252.3855,0.000165
1254.2492,0.000088
1256.1129,0.000165
1257.9765,0.000231
1259.8402,0.000282
1261.7039,0.000259
1263.5675,0.000155
1265.4312,0.000048
1267.2949,0.000041
1269.1585,0.000143
1271.0222,0.000175
1272.8859,0.000190
1274.7495,0.000155
1276.6132,-0.000040
1278.4769,-0.000041
1280.3405,0.000083
1282.2042,0.000009
