Wavenumber,Intensity
650.4205,0.008628
652.2841,0.007401
654.1478,0.005931
656.0115,0.005792
657.8751,0.005602
659.7388,0.005425
661.6025,0.004984
663.4661,0.003727
665.3298,0.000454
667.1935,0.007051
669.0571,0.011361
670.9208,0.008625
672.7845,0.002033
674.6481,0.001867
676.5118,0.002630
678.3755,0.003395
680.2392,0.003140
682.1028,0.003645
683.9665,0.003189
685.8302,0.001402
687.6938,0.000769
689.5575,0.002179
691.4212,0.002079
693.2848,0.001339
695.1485,0.000527
697.0122,0.001067
698.8758,0.001113
700.7395,0.000603
702.6032,0.000424
704.4669,0.000707
706.3305,-0.000148
708.1942,-0.000355
710.0579,-0.000187
711.9215,-0.000116
713.7852,-0.000880
715.6489,-0.001351
717.5125,-0.001667
719.3762,-0.001273
721.2399,-0.001652
723.1035,-0.001902
724.9672,-0.001595
726.8309,-0.001536
728.6945,-0.002149
730.5582,-0.001830
732.4219,-0.001676
734.2856,-0.001964
736.1492,-0.002699
738.0129,-0.003024
739.8766,-0.002815
741.7402,-0.002770
743.6039,-0.003004
745.4676,-0.002630
747.3312,-0.002686
749.1949,-0.003309
751.0586,-0.004195
752.9222,-0.003973
754.7859,-0.003314
756.6496,-0.003174
758.5132,-0.003578
760.3769,-0.003259
762.2406,-0.003249
764.1043,-0.003440
765.9679,-0.003635
767.8316,-0.003690
769.6953,-0.003950
771.5589,-0.004129
773.4226,-0.003935
775.2863,-0.003753
777.1499,-0.004079
779.0136,-0.003935
780.8773,-0.004015
782.7409,-0.004044
784.6046,-0.004211
786.4683,-0.004559
788.3320,-0.004988
790.1956,-0.004779
792.0593,-0.004782
793.9230,-0.004739
795.7866,-0.004683
797.6503,-0.004816
799.5140,-0.005213
801.3776,-0.005138
803.2413,-0.004851
805.1050,-0.004700
806.9686,-0.005022
808.8323,-0.005250
810.6960,-0.005428
812.5596,-0.005565
814.4233,-0.005743
816.2870,-0.005542
818.1507,-0.005544
820.0143,-0.005678
821.8780,-0.005705
823.7417,-0.005324
825.6053,-0.005379
827.4690,-0.005653
829.3327,-0.005588
831.1963,-0.005103
833.0600,-0.005299
834.9237,-0.005559
836.7873,-0.005412
838.6510,-0.005422
840.5147,-0.005690
842.3784,-0.005603
844.2420,-0.005264
846.1057,-0.005104
847.9694,-0.005369
849.8330,-0.005185
851.6967,-0.004772
853.5604,-0.004686
855.4240,-0.004960
857.2877,-0.004927
859.1514,-0.004913
861.0150,-0.004844
862.8787,-0.004840
864.7424,-0.004553
866.6060,-0.004259
868.4697,-0.004155
870.3334,-0.004355
872.1971,-0.004096
874.0607,-0.003747
875.9244,-0.003820
877.7881,-0.004161
879.6517,-0.004089
881.5154,-0.003906
883.3791,-0.003996
885.2427,-0.004027
887.1064,-0.003540
888.9701,-0.003415
890.8337,-0.003664
892.6974,-0.003785
894.5611,-0.003489
896.4247,-0.003377
898.2884,-0.003502
900.1521,-0.003779
902.0158,-0.003694
903.8794,-0.003371
905.7431,-0.003194
907.6068,-0.003172
909.4704,-0.003102
911.3341,-0.003333
913.1978,-0.003344
915.0614,-0.003131
916.9251,-0.002826
918.7888,-0.002996
920.6524,-0.003137
922.5161,-0.002971
924.3798,-0.002743
926.2435,-0.002934
928.1071,-0.002804
929.9708,-0.002447
931.8345,-0.002323
933.6981,-0.002479
935.5618,-0.002359
937.4255,-0.002279
939.2891,-0.002179
941.1528,-0.002150
943.0165,-0.001959
944.8801,-0.001860
946.7438,-0.001711
948.6075,-0.001564
950.4711,-0.001341
952.3348,-0.001223
954.1985,-0.001073
956.0622,-0.001171
957.9258,-0.001003
959.7895,-0.000880
961.6532,-0.000857
963.5168,-0.000755
965.3805,-0.000453
967.2442,-0.000163
969.1078,-0.000018
970.9715,0.000046
972.8352,0.000234
974.6988,0.000265
976.5625,0.000379
978.4262,0.000536
980.2899,0.000740
982.1535,0.000700
984.0172,0.000767
985.8809,0.000970
987.7445,0.001098
989.6082,0.000945
991.4719,0.001005
993.3355,0.001254
995.1992,0.001468
997.0629,0.001318
998.9265,0.001370
1000.7902,0.001459
1002.6539,0.001376
1004.5175,0.001087
1006.3812,0.001121
1008.2449,0.001244
1010.1086,0.001228
1011.9722,0.000988
1013.8359,0.000985
1015.6996,0.001087
1017.5632,0.001101
1019.4269,0.001059
1021.2906,0.001000
1023.1542,0.000897
1025.0179,0.000859
1026.8816,0.000740
1028.7452,0.000783
1030.6089,0.000851
1032.4726,0.000728
1034.3362,0.000437
1036.1999,0.000370
1038.0636,0.000246
1039.9273,0.000038
1041.7909,-0.000053
1043.6546,0.000030
1045.5183,-0.000159
1047.3819,-0.000357
1049.2456,-0.000394
1051.1093,-0.000426
1052.9729,-0.000687
1054.8366,-0.000896
1056.7003,-0.000979
1058.5639,-0.000895
1060.4276,-0.001084
1062.2913,-0.001300
1064.1550,-0.001473
1066.0186,-0.001595
1067.8823,-0.001879
1069.7460,-0.002194
1071.6096,-0.002369
1073.4733,-0.002332
1075.3370,-0.002444
1077.2006,-0.002511
1079.0643,-0.002550
1080.9280,-0.002583
1082.7916,-0.002767
1084.6553,-0.002773
1086.5190,-0.002853
1088.3826,-0.003027
1090.2463,-0.003237
1092.1100,-0.003160
1093.9737,-0.003210
1095.8373,-0.003339
1097.7010,-0.003414
1099.5647,-0.003320
1101.4283,-0.003346
1103.2920,-0.003380
1105.1557,-0.003449
1107.0193,-0.003353
1108.8830,-0.003381
1110.7467,-0.003510
1112.6103,-0.003565
1114.4740,-0.003459
1116.3377,-0.003518
1118.2014,-0.003512
1120.0650,-0.003544
1121.9287,-0.003546
1123.7924,-0.003651
1125.6560,-0.003740
1127.5197,-0.003763
1129.3834,-0.003635
1131.2470,-0.003746
1133.1107,-0.003812
1134.9744,-0.003725
1136.8380,-0.003622
1138.7017,-0.003872
1140.5654,-0.003875
1142.4290,-0.003743
1144.2927,-0.003698
1146.1564,-0.003853
1148.0201,-0.003780
1149.8837,-0.003733
1151.7474,-0.003782
1153.6111,-0.004022
1155.4747,-0.004070
1157.3384,-0.004114
1159.2021,-0.004167
1161.0657,-0.004236
1162.9294,-0.004195
1164.7931,-0.004284
1166.6567,-0.004368
1168.5204,-0.004554
1170.3841,-0.004613
1172.2477,-0.004666
1174.1114,-0.004728
1175.9751,-0.005001
1177.8388,-0.005167
1179.7024,-0.005211
1181.5661,-0.005274
1183.4298,-0.005385
1185.2934,-0.005299
1187.1571,-0.005231
1189.0208,-0.005310
1190.8844,-0.005469
1192.7481,-0.005398
1194.6118,-0.005509
1196.4754,-0.005482
1198.3391,-0.005350
1200.2028,-0.005246
1202.0665,-0.005493
1203.9301,-0.005494
1205.7938,-0.005465
1207.6575,-0.005428
1209.5211,-0.005470
1211.3848,-0.005344
1213.2485,-0.005311
1215.1121,-0.005450
1216.9758,-0.005580
1218.8395,-0.005405
1220.7031,-0.005379
