Wavenumber,Intensity
650.4205,0.101659
652.2841,0.101028
654.1478,0.100764
656.0115,0.099582
657.8751,0.098783
659.7388,0.099678
661.6025,0.099734
663.4661,0.098728
665.3298,0.099402
667.1935,0.100604
669.0571,0.099813
670.9208,0.098394
672.7845,0.098338
674.6481,0.098819
676.5118,0.097614
678.3755,0.095962
680.2392,0.095869
682.1028,0.095512
683.9665,0.094480
685.8302,0.093277
687.6938,0.091500
689.5575,0.089810
691.4212,0.088344
693.2848,0.087282
695.1485,0.087068
697.0122,0.086952
698.8758,0.086325
700.7395,0.086173
702.6032,0.086386
704.4669,0.087096
706.3305,0.088114
708.1942,0.088945
710.0579,0.089972
711.9215,0.091008
713.7852,0.091060
715.6489,0.089520
717.5125,0.088307
719.3762,0.088628
721.2399,0.089047
723.1035,0.089120
724.9672,0.089362
726.8309,0.089267
728.6945,0.088970
730.5582,0.088191
732.4219,0.087663
734.2856,0.087334
736.1492,0.086630
738.0129,0.086600
739.8766,0.087054
741.7402,0.086825
743.6039,0.086198
745.4676,0.086150
747.3312,0.086193
749.1949,0.085817
751.0586,0.085560
752.9222,0.085578
754.7859,0.085501
756.6496,0.085245
758.5132,0.085010
760.3769,0.084869
762.2406,0.084717
764.1043,0.084036
765.9679,0.083208
767.8316,0.082632
769.6953,0.082365
771.5589,0.081942
773.4226,0.081474
775.2863,0.081065
777.1499,0.080384
779.0136,0.079998
780.8773,0.079958
782.7409,0.079789
784.6046,0.079626
786.4683,0.079699
788.3320,0.079764
790.1956,0.079340
792.0593,0.078855
793.9230,0.078644
795.7866,0.078113
797.6503,0.077812
799.5140,0.077907
801.3776,0.077817
803.2413,0.077975
805.1050,0.078212
806.9686,0.078292
808.8323,0.078554
810.6960,0.078945
812.5596,0.079152
814.4233,0.079491
816.2870,0.080064
818.1507,0.080387
820.0143,0.080500
821.8780,0.080524
823.7417,0.080572
825.6053,0.080620
827.4690,0.080807
829.3327,0.081208
831.1963,0.081725
833.0600,0.082620
834.9237,0.083712
836.7873,0.084793
838.6510,0.085936
840.5147,0.087250
842.3784,0.088718
844.2420,0.090403
846.1057,0.092305
847.9694,0.094065
849.8330,0.095537
851.6967,0.097087
853.5604,0.099170
855.4240,0.101260
857.2877,0.103153
859.1514,0.105439
861.0150,0.107811
862.8787,0.109855
864.7424,0.112157
866.6060,0.114878
868.4697,0.117789
870.3334,0.120496
872.1971,0.122135
874.0607,0.122556
875.9244,0.122207
877.7881,0.121504
879.6517,0.120744
881.5154,0.120248
883.3791,0.120013
885.2427,0.119783
887.1064,0.120329
888.9701,0.122119
890.8337,0.124414
892.6974,0.126606
894.5611,0.128821
896.4247,0.131161
898.2884,0.133319
900.1521,0.135365
902.0158,0.137266
903.8794,0.139130
905.7431,0.141324
907.6068,0.143445
909.4704,0.144822
911.3341,0.146241
913.1978,0.147955
915.0614,0.149425
916.9251,0.150847
918.7888,0.152258
920.6524,0.153554
922.5161,0.154906
924.3798,0.156293
926.2435,0.157651
928.1071,0.159059
929.9708,0.160611
931.8345,0.162085
933.6981,0.163436
935.5618,0.164834
937.4255,0.166478
939.2891,0.168190
941.1528,0.169734
943.0165,0.171150
944.8801,0.172481
946.7438,0.173813
948.6075,0.174941
950.4711,0.175697
952.3348,0.176325
954.1985,0.176666
956.0622,0.176642
957.9258,0.176501
959.7895,0.176371
961.6532,0.176259
963.5168,0.176120
965.3805,0.175832
967.2442,0.175508
969.1078,0.175362
970.9715,0.175296
972.8352,0.175358
974.6988,0.175503
976.5625,0.175574
978.4262,0.175754
980.2899,0.175880
982.1535,0.175648
984.0172,0.175242
985.8809,0.174803
987.7445,0.174127
989.6082,0.173196
991.4719,0.172049
993.3355,0.170545
995.1992,0.168715
997.0629,0.166759
998.9265,0.164648
1000.7902,0.162371
1002.6539,0.159971
1004.5175,0.157419
1006.3812,0.154827
1008.2449,0.152068
1010.1086,0.149157
1011.9722,0.146308
1013.8359,0.143328
1015.6996,0.140257
1017.5632,0.137207
1019.4269,0.134075
1021.2906,0.131029
1023.1542,0.127965
1025.0179,0.124896
1026.8816,0.122088
1028.7452,0.119378
1030.6089,0.116711
1032.4726,0.113993
1034.3362,0.111342
1036.1999,0.108921
1038.0636,0.106540
1039.9273,0.104160
1041.7909,0.101900
1043.6546,0.099724
1045.5183,0.097613
1047.3819,0.095608
1049.2456,0.093692
1051.1093,0.091866
1052.9729,0.090123
1054.8366,0.088543
1056.7003,0.087038
1058.5639,0.085484
1060.4276,0.084043
1062.2913,0.082751
1064.1550,0.081509
1066.0186,0.080306
1067.8823,0.079242
1069.7460,0.078239
1071.6096,0.077150
1073.4733,0.076081
1075.3370,0.075174
1077.2006,0.074311
1079.0643,0.073331
1080.9280,0.072368
1082.7916,0.071391
1084.6553,0.070322
1086.5190,0.069308
1088.3826,0.068256
1090.2463,0.067079
1092.1100,0.065904
1093.9737,0.064730
1095.8373,0.063555
1097.7010,0.062319
1099.5647,0.061058
1101.4283,0.059812
1103.2920,0.058525
1105.1557,0.057393
1107.0193,0.056297
1108.8830,0.055067
1110.7467,0.053891
1112.6103,0.052742
1114.4740,0.051611
1116.3377,0.050451
1118.2014,0.049362
1120.0650,0.048481
1121.9287,0.047612
1123.7924,0.046678
1125.6560,0.045779
1127.5197,0.044986
1129.3834,0.044244
1131.2470,0.043574
1133.1107,0.042986
1134.9744,0.042383
1136.8380,0.041748
1138.7017,0.041193
1140.5654,0.040688
1142.4290,0.040108
1144.2927,0.039546
1146.1564,0.039010
1148.0201,0.038375
1149.8837,0.037745
1151.7474,0.037175
1153.6111,0.036535
1155.4747,0.035825
1157.3384,0.035121
1159.2021,0.034396
1161.0657,0.033667
1162.9294,0.032923
1164.7931,0.032051
1166.6567,0.031201
1168.5204,0.030435
1170.3841,0.029529
1172.2477,0.028544
1174.1114,0.027617
1175.9751,0.026798
1177.8388,0.026049
1179.7024,0.025183
1181.5661,0.024338
1183.4298,0.023648
1185.2934,0.022880
1187.1571,0.022020
1189.0208,0.021259
1190.8844,0.020620
1192.7481,0.019953
1194.6118,0.019265
1196.4754,0.018659
1198.3391,0.018051
1200.2028,0.017493
1202.0665,0.017002
1203.9301,0.016458
1205.7938,0.015939
1207.6575,0.015431
1209.5211,0.014974
1211.3848,0.014645
1213.2485,0.014317
1215.1121,0.014043
1216.9758,0.013871
1218.8395,0.013597
1220.7031,0.013303
1222.5668,0.013090
1224.4305,0.012938
1226.2941,0.012854
1228.1578,0.012715
1230.0215,0.012615
1231.8852,0.012553
1233.7488,0.012409
1235.6125,0.012305
1237.4762,0.012228
1239.3398,0.012133
1241.2035,0.012066
1243.0672,0.012024
1244.9308,0.011922
1246.7945,0.011824
1248.6582,0.011816
1250.5218,0.011841
1252.3855,0.011819
1254.2492,0.011837
1256.1129,0.011852
1257.9765,0.011742
1259.8402,0.011637
1261.7039,0.011647
1263.5675,0.011694
1265.4312,0.011701
1267.2949,0.011671
1269.1585,0.011645
1271.0222,0.011686
1272.8859,0.011836
1274.7495,0.011873
1276.6132,0.011776
1278.4769,0.011804
1280.3405,0.011951
1282.2042,0.012088
1284.0679,0.012064
1285.9316,0.012016
1287.7952,0.012083
1289.6589,0.012199
1291.5226,0.012301
1293.3862,0.012446
1295.2499,0.012516
1297.1136,0.012607
1298.9772,0.012791
1300.8409,0.012855
1302.7046,0.012894
1304.5682,0.012994
1306.4319,0.013093
1308.2956,0.013227
1310.1592,0.013385
1312.0229,0.013467
1313.8866,0.013553
1315.7503,0.013690
1317.6139,0.013744
