Wavenumber,Intensity
650.4205,0.001237
652.2841,0.001757
654.1478,0.000852
656.0115,0.000478
657.8751,0.000797
659.7388,0.000649
661.6025,0.000837
663.4661,0.001840
665.3298,0.002519
667.1935,0.004030
669.0571,0.003138
670.9208,0.000817
672.7845,0.000983
674.6481,0.001925
676.5118,0.001884
678.3755,0.001311
680.2392,0.001424
682.1028,0.000785
683.9665,0.000597
685.8302,0.001545
687.6938,0.001445
689.5575,0.000797
691.4212,0.000814
693.2848,0.001035
695.1485,0.001539
697.0122,0.001933
698.8758,0.001310
700.7395,0.000375
702.6032,0.000347
704.4669,0.000738
706.3305,0.001013
708.1942,0.000548
710.0579,0.000257
711.9215,0.000537
713.7852,0.000246
715.6489,0.000706
717.5125,0.001032
719.3762,0.000868
721.2399,0.000998
723.1035,0.000826
724.9672,0.000424
726.8309,0.000667
728.6945,0.001011
730.5582,0.000727
732.4219,0.000445
734.2856,0.000528
736.1492,0.000825
738.0129,0.001082
739.8766,0.000816
741.7402,0.000625
743.6039,0.000711
745.4676,0.000630
747.3312,0.000354
749.1949,0.000171
751.0586,0.000317
752.9222,0.000806
754.7859,0.000917
756.6496,0.000770
758.5132,0.000886
760.3769,0.001022
762.2406,0.000817
764.1043,0.000893
765.9679,0.001095
767.8316,0.000823
769.6953,0.000415
771.5589,0.000591
773.4226,0.001126
775.2863,0.001195
777.1499,0.001188
779.0136,0.001458
780.8773,0.001449
782.7409,0.001146
784.6046,0.001019
786.4683,0.001035
788.3320,0.001044
790.1956,0.001088
792.0593,0.001226
793.9230,0.001503
795.7866,0.001608
797.6503,0.001614
799.5140,0.001650
801.3776,0.001313
803.2413,0.001170
805.1050,0.001453
806.9686,0.001516
808.8323,0.001468
810.6960,0.001184
812.5596,0.000891
814.4233,0.000915
816.2870,0.001021
818.1507,0.000914
820.0143,0.000747
821.8780,0.000563
823.7417,0.000489
825.6053,0.000726
827.4690,0.000906
829.3327,0.000954
831.1963,0.000869
833.0600,0.000575
834.9237,0.000428
836.7873,0.000519
838.6510,0.000480
840.5147,0.000556
842.3784,0.000718
844.2420,0.000522
846.1057,0.000475
847.9694,0.000646
849.8330,0.000679
851.6967,0.000768
853.5604,0.000696
855.4240,0.000534
857.2877,0.000535
859.1514,0.000466
861.0150,0.000366
862.8787,0.000407
864.7424,0.000627
866.6060,0.000612
868.4697,0.000541
870.3334,0.000708
872.1971,0.000731
874.0607,0.000633
875.9244,0.000803
877.7881,0.001027
879.6517,0.000884
881.5154,0.000605
883.3791,0.000682
885.2427,0.000845
887.1064,0.000714
888.9701,0.000661
890.8337,0.000893
892.6974,0.000927
894.5611,0.000924
896.4247,0.001065
898.2884,0.000994
900.1521,0.000957
902.0158,0.001032
903.8794,0.001085
905.7431,0.001122
907.6068,0.001132
909.4704,0.001072
911.3341,0.001057
913.1978,0.001085
915.0614,0.001140
916.9251,0.001143
918.7888,0.001147
920.6524,0.001314
922.5161,0.001407
924.3798,0.001362
926.2435,0.001342
928.1071,0.001365
929.9708,0.001427
931.8345,0.001486
933.6981,0.001487
935.5618,0.001453
937.4255,0.001434
939.2891,0.001462
941.1528,0.001624
943.0165,0.001852
944.8801,0.001920
946.7438,0.001903
948.6075,0.002021
950.4711,0.002050
952.3348,0.001877
954.1985,0.001762
956.0622,0.001793
957.9258,0.001769
959.7895,0.001628
961.6532,0.001552
963.5168,0.001620
965.3805,0.001703
967.2442,0.001677
969.1078,0.001636
970.9715,0.001713
972.8352,0.001755
974.6988,0.001638
976.5625,0.001649
978.4262,0.001796
980.2899,0.001842
982.1535,0.001803
984.0172,0.001839
985.8809,0.001983
987.7445,0.002034
989.6082,0.002033
991.4719,0.002078
993.3355,0.002102
995.1992,0.002237
997.0629,0.002453
998.9265,0.002563
1000.7902,0.002601
1002.6539,0.002571
1004.5175,0.002555
1006.3812,0.002598
1008.2449,0.002690
1010.1086,0.002815
1011.9722,0.002945
1013.8359,0.003011
1015.6996,0.003101
1017.5632,0.003233
1019.4269,0.003276
1021.2906,0.003342
1023.1542,0.003406
1025.0179,0.003457
1026.8816,0.003598
1028.7452,0.003697
1030.6089,0.003708
1032.4726,0.003744
1034.3362,0.003846
1036.1999,0.003946
1038.0636,0.003995
1039.9273,0.004068
1041.7909,0.004206
1043.6546,0.004325
1045.5183,0.004360
1047.3819,0.004360
1049.2456,0.004414
1051.1093,0.004450
1052.9729,0.004356
1054.8366,0.004285
1056.7003,0.004286
1058.5639,0.004206
1060.4276,0.004207
1062.2913,0.004404
1064.1550,0.004565
1066.0186,0.004569
1067.8823,0.004592
1069.7460,0.004662
1071.6096,0.004690
1073.4733,0.004650
1075.3370,0.004552
1077.2006,0.004497
1079.0643,0.004432
1080.9280,0.004362
1082.7916,0.004314
1084.6553,0.004251
1086.5190,0.004219
1088.3826,0.004174
1090.2463,0.004128
1092.1100,0.004079
1093.9737,0.004030
1095.8373,0.004006
1097.7010,0.003865
1099.5647,0.003700
1101.4283,0.003693
1103.2920,0.003626
1105.1557,0.003467
1107.0193,0.003331
1108.8830,0.003188
1110.7467,0.003092
1112.6103,0.003046
1114.4740,0.002970
1116.3377,0.002969
1118.2014,0.003003
1120.0650,0.002877
1121.9287,0.002744
1123.7924,0.002780
1125.6560,0.002797
1127.5197,0.002654
1129.3834,0.002467
1131.2470,0.002348
1133.1107,0.002249
1134.9744,0.002162
1136.8380,0.002150
1138.7017,0.002170
1140.5654,0.002081
1142.4290,0.001941
1144.2927,0.001860
1146.1564,0.001808
1148.0201,0.001769
