Wavenumber,Intensity
650.4205,0.069872
652.2841,0.066966
654.1478,0.066905
656.0115,0.068794
657.8751,0.069514
659.7388,0.068780
661.6025,0.068354
663.4661,0.068886
665.3298,0.069561
667.1935,0.069663
669.0571,0.068229
670.9208,0.067066
672.7845,0.065682
674.6481,0.065059
676.5118,0.065791
678.3755,0.065391
680.2392,0.064012
682.1028,0.063594
683.9665,0.063338
685.8302,0.062365
687.6938,0.062139
689.5575,0.062776
691.4212,0.063140
693.2848,0.062790
695.1485,0.062220
697.0122,0.061588
698.8758,0.060775
700.7395,0.060280
702.6032,0.060598
704.4669,0.060818
706.3305,0.060134
708.1942,0.059842
710.0579,0.060740
711.9215,0.061503
713.7852,0.061292
715.6489,0.059899
717.5125,0.058163
719.3762,0.056958
721.2399,0.056455
723.1035,0.056516
724.9672,0.056534
726.8309,0.056289
728.6945,0.055797
730.5582,0.054953
732.4219,0.054241
734.2856,0.054523
736.1492,0.054577
738.0129,0.054265
739.8766,0.054619
741.7402,0.054104
743.6039,0.053304
745.4676,0.053362
747.3312,0.053498
749.1949,0.053261
751.0586,0.052722
752.9222,0.052694
754.7859,0.053022
756.6496,0.052914
758.5132,0.052424
760.3769,0.051956
762.2406,0.051862
764.1043,0.051938
765.9679,0.051760
767.8316,0.051224
769.6953,0.050935
771.5589,0.051235
773.4226,0.051108
775.2863,0.050834
777.1499,0.051017
779.0136,0.050869
780.8773,0.050543
782.7409,0.050342
784.6046,0.050061
786.4683,0.049511
788.3320,0.049149
790.1956,0.049201
792.0593,0.049076
793.9230,0.048845
795.7866,0.048693
797.6503,0.048602
799.5140,0.048561
801.3776,0.048215
803.2413,0.047648
805.1050,0.047472
806.9686,0.047440
808.8323,0.046896
810.6960,0.046537
812.5596,0.046748
814.4233,0.046770
816.2870,0.046711
818.1507,0.046710
820.0143,0.046629
821.8780,0.046414
823.7417,0.046201
825.6053,0.046271
827.4690,0.046309
829.3327,0.046236
831.1963,0.046349
833.0600,0.046529
834.9237,0.046509
836.7873,0.046550
838.6510,0.047012
840.5147,0.047598
842.3784,0.047865
844.2420,0.048042
846.1057,0.048558
847.9694,0.049191
849.8330,0.049640
851.6967,0.050029
853.5604,0.050555
855.4240,0.051182
857.2877,0.051813
859.1514,0.052600
861.0150,0.053600
862.8787,0.054699
864.7424,0.055967
866.6060,0.057454
868.4697,0.059352
870.3334,0.061783
872.1971,0.063893
874.0607,0.064921
875.9244,0.064882
877.7881,0.063804
879.6517,0.062317
881.5154,0.061058
883.3791,0.059892
885.2427,0.058682
887.1064,0.057738
888.9701,0.057487
890.8337,0.057799
892.6974,0.058196
894.5611,0.058480
896.4247,0.058904
898.2884,0.059443
900.1521,0.059954
902.0158,0.060475
903.8794,0.060894
905.7431,0.061221
907.6068,0.061725
909.4704,0.062228
911.3341,0.062612
913.1978,0.063075
915.0614,0.063488
916.9251,0.063903
918.7888,0.064386
920.6524,0.064934
922.5161,0.065478
924.3798,0.066054
926.2435,0.066798
928.1071,0.067599
929.9708,0.068347
931.8345,0.069056
933.6981,0.069834
935.5618,0.070632
937.4255,0.071423
939.2891,0.072329
941.1528,0.073247
943.0165,0.074143
944.8801,0.075196
946.7438,0.076296
948.6075,0.077315
950.4711,0.078379
952.3348,0.079448
954.1985,0.080540
956.0622,0.081751
957.9258,0.082928
959.7895,0.084062
961.6532,0.085184
963.5168,0.086304
965.3805,0.087499
967.2442,0.088634
969.1078,0.089763
970.9715,0.090852
972.8352,0.091829
974.6988,0.093011
976.5625,0.094284
978.4262,0.095388
980.2899,0.096477
982.1535,0.097617
984.0172,0.098682
985.8809,0.099547
987.7445,0.100214
989.6082,0.100872
991.4719,0.101566
993.3355,0.102118
995.1992,0.102504
997.0629,0.102875
998.9265,0.103185
1000.7902,0.103353
1002.6539,0.103492
1004.5175,0.103614
1006.3812,0.103700
1008.2449,0.103775
1010.1086,0.103898
1011.9722,0.104052
1013.8359,0.103979
1015.6996,0.103795
1017.5632,0.103487
1019.4269,0.102938
1021.2906,0.102392
1023.1542,0.101786
1025.0179,0.101126
1026.8816,0.100464
1028.7452,0.099667
1030.6089,0.098822
1032.4726,0.097871
1034.3362,0.096665
1036.1999,0.095314
1038.0636,0.093944
1039.9273,0.092616
1041.7909,0.091351
1043.6546,0.090124
1045.5183,0.088967
1047.3819,0.087887
1049.2456,0.086752
1051.1093,0.085629
1052.9729,0.084615
1054.8366,0.083573
1056.7003,0.082384
1058.5639,0.081044
1060.4276,0.079532
1062.2913,0.077882
1064.1550,0.076264
1066.0186,0.074781
1067.8823,0.073473
1069.7460,0.072315
1071.6096,0.071278
1073.4733,0.070274
1075.3370,0.069222
1077.2006,0.068194
1079.0643,0.067124
1080.9280,0.065973
1082.7916,0.064936
1084.6553,0.064083
1086.5190,0.063211
1088.3826,0.062395
1090.2463,0.061702
1092.1100,0.060907
1093.9737,0.060136
1095.8373,0.059470
1097.7010,0.058785
1099.5647,0.058078
1101.4283,0.057381
1103.2920,0.056732
1105.1557,0.056180
1107.0193,0.055647
1108.8830,0.054998
1110.7467,0.054201
1112.6103,0.053357
1114.4740,0.052433
1116.3377,0.051310
1118.2014,0.050353
1120.0650,0.049591
1121.9287,0.048738
1123.7924,0.047872
1125.6560,0.046984
1127.5197,0.046081
1129.3834,0.045279
1131.2470,0.044570
1133.1107,0.043911
1134.9744,0.043321
1136.8380,0.042792
1138.7017,0.042419
1140.5654,0.042122
1142.4290,0.041828
1144.2927,0.041561
1146.1564,0.041192
1148.0201,0.040865
1149.8837,0.040615
1151.7474,0.040297
1153.6111,0.039952
1155.4747,0.039540
1157.3384,0.038938
1159.2021,0.038233
1161.0657,0.037421
1162.9294,0.036445
1164.7931,0.035385
1166.6567,0.034269
1168.5204,0.033023
