Wavenumber,Intensity
650.4205,0.109787
652.2841,0.110104
654.1478,0.109115
656.0115,0.107437
657.8751,0.106096
659.7388,0.107484
661.6025,0.108573
663.4661,0.109051
665.3298,0.109733
667.1935,0.109983
669.0571,0.109891
670.9208,0.109217
672.7845,0.108691
674.6481,0.107876
676.5118,0.106130
678.3755,0.103185
680.2392,0.100932
682.1028,0.100547
683.9665,0.099804
685.8302,0.097901
687.6938,0.096150
689.5575,0.094789
691.4212,0.092919
693.2848,0.090945
695.1485,0.089611
697.0122,0.089018
698.8758,0.088914
700.7395,0.088338
702.6032,0.088019
704.4669,0.088796
706.3305,0.089682
708.1942,0.090535
710.0579,0.091806
711.9215,0.093648
713.7852,0.094934
715.6489,0.094615
717.5125,0.094352
719.3762,0.094727
721.2399,0.095076
723.1035,0.095239
724.9672,0.095540
726.8309,0.095568
728.6945,0.095517
730.5582,0.095346
732.4219,0.094987
734.2856,0.094640
736.1492,0.094293
738.0129,0.094268
739.8766,0.094528
741.7402,0.094816
743.6039,0.095080
745.4676,0.094919
747.3312,0.094431
749.1949,0.094515
751.0586,0.094867
752.9222,0.094949
754.7859,0.094809
756.6496,0.094746
758.5132,0.094870
760.3769,0.094653
762.2406,0.094372
764.1043,0.093905
765.9679,0.093195
767.8316,0.092550
769.6953,0.092021
771.5589,0.091390
773.4226,0.090923
775.2863,0.090752
777.1499,0.090275
779.0136,0.090027
780.8773,0.090047
782.7409,0.090236
784.6046,0.090730
786.4683,0.091032
788.3320,0.091118
790.1956,0.091056
792.0593,0.090843
793.9230,0.090972
795.7866,0.091239
797.6503,0.091448
799.5140,0.091859
801.3776,0.092381
803.2413,0.092965
805.1050,0.093382
806.9686,0.093694
808.8323,0.094563
810.6960,0.095487
812.5596,0.095918
814.4233,0.096625
816.2870,0.097376
818.1507,0.097580
820.0143,0.097792
821.8780,0.098008
823.7417,0.097980
825.6053,0.097984
827.4690,0.098414
829.3327,0.099013
831.1963,0.099711
833.0600,0.100728
834.9237,0.102147
836.7873,0.103820
838.6510,0.105325
840.5147,0.106914
842.3784,0.109027
844.2420,0.111165
846.1057,0.113215
847.9694,0.115165
849.8330,0.116896
851.6967,0.118718
853.5604,0.120725
855.4240,0.122647
857.2877,0.124692
859.1514,0.126979
861.0150,0.129327
862.8787,0.131538
864.7424,0.133901
866.6060,0.136419
868.4697,0.138840
870.3334,0.141284
872.1971,0.143317
874.0607,0.144402
875.9244,0.144908
877.7881,0.145150
879.6517,0.145081
881.5154,0.145170
883.3791,0.145609
885.2427,0.145931
887.1064,0.146650
888.9701,0.148498
890.8337,0.151075
892.6974,0.153601
894.5611,0.156009
896.4247,0.158615
898.2884,0.161403
900.1521,0.164208
902.0158,0.166636
903.8794,0.168845
905.7431,0.171415
907.6068,0.174027
909.4704,0.176308
911.3341,0.178421
913.1978,0.180355
915.0614,0.182204
916.9251,0.184139
918.7888,0.186022
920.6524,0.187830
922.5161,0.189471
924.3798,0.190944
926.2435,0.192685
928.1071,0.194484
929.9708,0.196148
931.8345,0.197974
933.6981,0.200112
935.5618,0.202503
937.4255,0.205057
939.2891,0.207576
941.1528,0.209877
943.0165,0.212039
944.8801,0.214004
946.7438,0.215608
948.6075,0.217011
950.4711,0.218164
952.3348,0.218919
954.1985,0.219254
956.0622,0.219110
957.9258,0.218596
959.7895,0.217863
961.6532,0.216888
963.5168,0.215930
965.3805,0.215121
967.2442,0.214282
969.1078,0.213413
970.9715,0.212672
972.8352,0.212131
974.6988,0.211685
976.5625,0.211309
978.4262,0.211006
980.2899,0.210583
982.1535,0.210014
984.0172,0.209411
985.8809,0.208590
987.7445,0.207352
989.6082,0.205865
991.4719,0.204211
993.3355,0.202171
995.1992,0.199617
997.0629,0.196968
998.9265,0.194317
1000.7902,0.191392
1002.6539,0.188454
1004.5175,0.185505
1006.3812,0.182282
1008.2449,0.178951
1010.1086,0.175585
1011.9722,0.172004
1013.8359,0.168294
1015.6996,0.164726
1017.5632,0.161144
1019.4269,0.157330
1021.2906,0.153497
1023.1542,0.149841
1025.0179,0.146325
1026.8816,0.142902
1028.7452,0.139508
1030.6089,0.136221
1032.4726,0.132999
1034.3362,0.129839
1036.1999,0.126832
1038.0636,0.123824
1039.9273,0.120900
1041.7909,0.118211
1043.6546,0.115546
