Wavenumber,Intensity
650.4205,0.208626
652.2841,0.206556
654.1478,0.207498
656.0115,0.205796
657.8751,0.202892
659.7388,0.202883
661.6025,0.204620
663.4661,0.205385
665.3298,0.206843
667.1935,0.206398
669.0571,0.202878
670.9208,0.202988
672.7845,0.203551
674.6481,0.203587
676.5118,0.202228
678.3755,0.200110
680.2392,0.197679
682.1028,0.194696
683.9665,0.191165
685.8302,0.188237
687.6938,0.185251
689.5575,0.181109
691.4212,0.177085
693.2848,0.174139
695.1485,0.171720
697.0122,0.169230
698.8758,0.167335
700.7395,0.167037
702.6032,0.168215
704.4669,0.169509
706.3305,0.170383
708.1942,0.172635
710.0579,0.175516
711.9215,0.177667
713.7852,0.179882
715.6489,0.181682
717.5125,0.183766
719.3762,0.186287
721.2399,0.188393
723.1035,0.189422
724.9672,0.189737
726.8309,0.189495
728.6945,0.188099
730.5582,0.185916
732.4219,0.184485
734.2856,0.183355
736.1492,0.181988
738.0129,0.181305
739.8766,0.181065
741.7402,0.180181
743.6039,0.179454
745.4676,0.179263
747.3312,0.179065
749.1949,0.178851
751.0586,0.178845
752.9222,0.179347
754.7859,0.179918
756.6496,0.180279
758.5132,0.180530
760.3769,0.180741
762.2406,0.180774
764.1043,0.179674
765.9679,0.177563
767.8316,0.175778
769.6953,0.174269
771.5589,0.172621
773.4226,0.171132
775.2863,0.169693
777.1499,0.168209
779.0136,0.167032
780.8773,0.166156
782.7409,0.165525
784.6046,0.165232
786.4683,0.165274
788.3320,0.165891
790.1956,0.166285
792.0593,0.165902
793.9230,0.165806
795.7866,0.166431
797.6503,0.167395
799.5140,0.168395
801.3776,0.169221
803.2413,0.170643
805.1050,0.172661
806.9686,0.174426
808.8323,0.176381
810.6960,0.178399
812.5596,0.180284
814.4233,0.182389
816.2870,0.184074
818.1507,0.184998
820.0143,0.185624
821.8780,0.185941
823.7417,0.186132
825.6053,0.186690
827.4690,0.187725
829.3327,0.189439
831.1963,0.191631
833.0600,0.194437
834.9237,0.197797
836.7873,0.201366
838.6510,0.205307
840.5147,0.209682
842.3784,0.214463
844.2420,0.219693
846.1057,0.225368
847.9694,0.231407
849.8330,0.237500
851.6967,0.243348
853.5604,0.249197
855.4240,0.255139
857.2877,0.261335
859.1514,0.267682
861.0150,0.273796
862.8787,0.279447
864.7424,0.284623
866.6060,0.289562
868.4697,0.294215
870.3334,0.298565
872.1971,0.302732
874.0607,0.306758
875.9244,0.310612
877.7881,0.314447
879.6517,0.318389
881.5154,0.322359
883.3791,0.326700
885.2427,0.331538
887.1064,0.336992
888.9701,0.343027
890.8337,0.349479
892.6974,0.356401
894.5611,0.363316
896.4247,0.370186
898.2884,0.377153
900.1521,0.384193
902.0158,0.391150
903.8794,0.397898
905.7431,0.404373
907.6068,0.410409
909.4704,0.416061
911.3341,0.421637
913.1978,0.426675
915.0614,0.431292
916.9251,0.435875
918.7888,0.440479
920.6524,0.444932
922.5161,0.449074
924.3798,0.453074
926.2435,0.457249
928.1071,0.461401
929.9708,0.465637
931.8345,0.470295
933.6981,0.475230
935.5618,0.479985
937.4255,0.484595
939.2891,0.489121
941.1528,0.493248
943.0165,0.496346
944.8801,0.498290
946.7438,0.499428
948.6075,0.499904
950.4711,0.499288
952.3348,0.497164
954.1985,0.493598
956.0622,0.489446
957.9258,0.484756
959.7895,0.479590
961.6532,0.474451
963.5168,0.469558
965.3805,0.464915
967.2442,0.460495
969.1078,0.456609
970.9715,0.453433
972.8352,0.450659
974.6988,0.448167
976.5625,0.445963
978.4262,0.443922
980.2899,0.441694
982.1535,0.438769
984.0172,0.435022
985.8809,0.430638
987.7445,0.425492
989.6082,0.419426
991.4719,0.412521
993.3355,0.404836
995.1992,0.396551
997.0629,0.387905
998.9265,0.378912
1000.7902,0.369541
1002.6539,0.360057
1004.5175,0.350662
1006.3812,0.341200
1008.2449,0.331572
1010.1086,0.321733
1011.9722,0.311946
1013.8359,0.302270
1015.6996,0.292794
1017.5632,0.283735
1019.4269,0.274986
1021.2906,0.266526
1023.1542,0.258320
1025.0179,0.250577
1026.8816,0.243482
1028.7452,0.236713
1030.6089,0.230223
1032.4726,0.223922
1034.3362,0.217791
1036.1999,0.211986
1038.0636,0.206480
1039.9273,0.201292
1041.7909,0.196395
1043.6546,0.191678
1045.5183,0.187167
1047.3819,0.182949
1049.2456,0.178988
1051.1093,0.175214
1052.9729,0.171681
1054.8366,0.168348
1056.7003,0.165061
1058.5639,0.161872
1060.4276,0.158857
1062.2913,0.156120
1064.1550,0.153680
1066.0186,0.151285
1067.8823,0.148845
1069.7460,0.146382
1071.6096,0.143885
1073.4733,0.141391
1075.3370,0.138790
1077.2006,0.136000
1079.0643,0.133215
1080.9280,0.130490
1082.7916,0.127665
1084.6553,0.124838
1086.5190,0.122053
