Wavenumber,Intensity
650.4205,0.001838
652.2841,0.001182
654.1478,0.001791
656.0115,0.002107
657.8751,0.002495
659.7388,0.003986
661.6025,0.003731
663.4661,0.002061
665.3298,0.002732
667.1935,0.005591
669.0571,0.005223
670.9208,0.002408
672.7845,0.002041
674.6481,0.003275
676.5118,0.003337
678.3755,0.002622
680.2392,0.002451
682.1028,0.002790
683.9665,0.003209
685.8302,0.003360
687.6938,0.003590
689.5575,0.004085
691.4212,0.004289
693.2848,0.004835
695.1485,0.004611
697.0122,0.003716
698.8758,0.002970
700.7395,0.002439
702.6032,0.002451
704.4669,0.002526
706.3305,0.002441
708.1942,0.002373
710.0579,0.002124
711.9215,0.001798
713.7852,0.001799
715.6489,0.002277
717.5125,0.002668
719.3762,0.002551
721.2399,0.002579
723.1035,0.002655
724.9672,0.002375
726.8309,0.002320
728.6945,0.002465
730.5582,0.002329
732.4219,0.002246
734.2856,0.002307
736.1492,0.002417
738.0129,0.002515
739.8766,0.002699
741.7402,0.002924
743.6039,0.003144
745.4676,0.002977
747.3312,0.002904
749.1949,0.003187
751.0586,0.003363
752.9222,0.003373
754.7859,0.003537
756.6496,0.003317
758.5132,0.003101
760.3769,0.003414
762.2406,0.003952
764.1043,0.004410
765.9679,0.004684
767.8316,0.004816
769.6953,0.005106
771.5589,0.005671
773.4226,0.006154
775.2863,0.006543
777.1499,0.006888
779.0136,0.006949
780.8773,0.006776
782.7409,0.006293
784.6046,0.005780
786.4683,0.005466
788.3320,0.005286
790.1956,0.005199
792.0593,0.005470
793.9230,0.006210
795.7866,0.006814
797.6503,0.006961
799.5140,0.006786
801.3776,0.006225
803.2413,0.005371
805.1050,0.004251
806.9686,0.003317
808.8323,0.002654
810.6960,0.002002
812.5596,0.001723
814.4233,0.001645
816.2870,0.001342
818.1507,0.001230
820.0143,0.001015
821.8780,0.000705
823.7417,0.000881
825.6053,0.001122
827.4690,0.001048
829.3327,0.001048
831.1963,0.001229
833.0600,0.001368
834.9237,0.001331
836.7873,0.001232
838.6510,0.001140
840.5147,0.001163
842.3784,0.001200
844.2420,0.001212
846.1057,0.001259
847.9694,0.001413
849.8330,0.001554
851.6967,0.001693
853.5604,0.001784
855.4240,0.001572
857.2877,0.001407
859.1514,0.001520
861.0150,0.001580
862.8787,0.001770
864.7424,0.001998
866.6060,0.001986
868.4697,0.001870
870.3334,0.001812
872.1971,0.001804
874.0607,0.001851
875.9244,0.001931
877.7881,0.001994
879.6517,0.001959
881.5154,0.001926
883.3791,0.002085
885.2427,0.002200
887.1064,0.002090
888.9701,0.002056
890.8337,0.002166
892.6974,0.002230
894.5611,0.002247
896.4247,0.002312
898.2884,0.002282
900.1521,0.002383
902.0158,0.002604
903.8794,0.002610
905.7431,0.002414
907.6068,0.002241
909.4704,0.002337
911.3341,0.002623
913.1978,0.002917
915.0614,0.002975
916.9251,0.002801
918.7888,0.002765
920.6524,0.002808
922.5161,0.002720
924.3798,0.002743
926.2435,0.002976
928.1071,0.003147
929.9708,0.003131
931.8345,0.003107
933.6981,0.003246
935.5618,0.003358
937.4255,0.003354
939.2891,0.003477
941.1528,0.003534
943.0165,0.003453
944.8801,0.003555
946.7438,0.003722
948.6075,0.003801
950.4711,0.003808
952.3348,0.003740
954.1985,0.003738
956.0622,0.003868
957.9258,0.003951
959.7895,0.003979
961.6532,0.003993
963.5168,0.004037
965.3805,0.004076
967.2442,0.004097
969.1078,0.004182
970.9715,0.004235
972.8352,0.004278
974.6988,0.004348
976.5625,0.004398
978.4262,0.004493
980.2899,0.004625
982.1535,0.004730
984.0172,0.004747
985.8809,0.004801
987.7445,0.004954
989.6082,0.005094
991.4719,0.005154
993.3355,0.005234
995.1992,0.005428
997.0629,0.005526
998.9265,0.005546
1000.7902,0.005656
1002.6539,0.005809
1004.5175,0.005907
1006.3812,0.005954
1008.2449,0.006023
1010.1086,0.006126
1011.9722,0.006202
1013.8359,0.006237
1015.6996,0.006368
1017.5632,0.006564
1019.4269,0.006757
1021.2906,0.006915
1023.1542,0.007107
1025.0179,0.007231
1026.8816,0.007312
1028.7452,0.007567
1030.6089,0.007847
1032.4726,0.007980
1034.3362,0.008109
1036.1999,0.008401
1038.0636,0.008677
1039.9273,0.008765
1041.7909,0.008863
1043.6546,0.009137
1045.5183,0.009451
1047.3819,0.009691
1049.2456,0.010010
1051.1093,0.010346
1052.9729,0.010631
1054.8366,0.010912
1056.7003,0.011218
1058.5639,0.011571
1060.4276,0.011913
1062.2913,0.012233
1064.1550,0.012575
1066.0186,0.012881
1067.8823,0.013105
1069.7460,0.013325
1071.6096,0.013579
1073.4733,0.013920
1075.3370,0.014356
1077.2006,0.014587
1079.0643,0.014749
1080.9280,0.014979
1082.7916,0.015016
1084.6553,0.014957
1086.5190,0.014869
1088.3826,0.014603
1090.2463,0.014295
1092.1100,0.014092
1093.9737,0.013867
1095.8373,0.013541
1097.7010,0.013185
1099.5647,0.012948
1101.4283,0.012702
1103.2920,0.012293
1105.1557,0.011920
1107.0193,0.011635
1108.8830,0.011348
1110.7467,0.011082
1112.6103,0.010818
1114.4740,0.010568
1116.3377,0.010280
1118.2014,0.009975
1120.0650,0.009761
1121.9287,0.009475
1123.7924,0.009112
1125.6560,0.008825
1127.5197,0.008567
1129.3834,0.008310
1131.2470,0.008078
1133.1107,0.007859
1134.9744,0.007651
1136.8380,0.007467
1138.7017,0.007313
1140.5654,0.007116
1142.4290,0.006870
1144.2927,0.006652
1146.1564,0.006464
1148.0201,0.006261
1149.8837,0.006160
1151.7474,0.006065
1153.6111,0.005903
1155.4747,0.005795
1157.3384,0.005726
1159.2021,0.005755
1161.0657,0.005953
1162.9294,0.006121
1164.7931,0.006138
1166.6567,0.005945
1168.5204,0.005657
1170.3841,0.005440
1172.2477,0.005301
1174.1114,0.005090
1175.9751,0.004866
1177.8388,0.004777
1179.7024,0.004723
1181.5661,0.004629
1183.4298,0.004501
1185.2934,0.004432
1187.1571,0.004372
