Wavenumber,Intensity
650.4205,0.194228
652.2841,0.190528
654.1478,0.186711
656.0115,0.184453
657.8751,0.184074
659.7388,0.183560
661.6025,0.182365
663.4661,0.183316
665.3298,0.184933
667.1935,0.185444
669.0571,0.183148
670.9208,0.182313
672.7845,0.182002
674.6481,0.180962
676.5118,0.180462
678.3755,0.178882
680.2392,0.175886
682.1028,0.173651
683.9665,0.171721
685.8302,0.168920
687.6938,0.165667
689.5575,0.161593
691.4212,0.157593
693.2848,0.155175
695.1485,0.152984
697.0122,0.150248
698.8758,0.148480
700.7395,0.147841
702.6032,0.147568
704.4669,0.147420
706.3305,0.148077
708.1942,0.149703
710.0579,0.151864
711.9215,0.154351
713.7852,0.156119
715.6489,0.158253
717.5125,0.161204
719.3762,0.163227
721.2399,0.164723
723.1035,0.166050
724.9672,0.166230
726.8309,0.165310
728.6945,0.164059
730.5582,0.162628
732.4219,0.160734
734.2856,0.159772
736.1492,0.160169
738.0129,0.160357
739.8766,0.159883
741.7402,0.158994
743.6039,0.158243
745.4676,0.157995
747.3312,0.157343
749.1949,0.156566
751.0586,0.156111
752.9222,0.155997
754.7859,0.156403
756.6496,0.156703
758.5132,0.157046
760.3769,0.156736
762.2406,0.155295
764.1043,0.153705
765.9679,0.152012
767.8316,0.149899
769.6953,0.147567
771.5589,0.145788
773.4226,0.144661
775.2863,0.143285
777.1499,0.142137
779.0136,0.141618
780.8773,0.140980
782.7409,0.140631
784.6046,0.141013
786.4683,0.141172
788.3320,0.140945
790.1956,0.140482
792.0593,0.139896
793.9230,0.139527
795.7866,0.139605
797.6503,0.140056
799.5140,0.140737
801.3776,0.141647
803.2413,0.142689
805.1050,0.143873
806.9686,0.145200
808.8323,0.146831
810.6960,0.148182
812.5596,0.149578
814.4233,0.151524
816.2870,0.152912
818.1507,0.153616
820.0143,0.154094
821.8780,0.154188
823.7417,0.154505
825.6053,0.155112
827.4690,0.155838
829.3327,0.157012
831.1963,0.158645
833.0600,0.160657
834.9237,0.163351
836.7873,0.166766
838.6510,0.170090
840.5147,0.173565
842.3784,0.178006
844.2420,0.182925
846.1057,0.187756
847.9694,0.192962
849.8330,0.198365
851.6967,0.203552
853.5604,0.208669
855.4240,0.214118
857.2877,0.219796
859.1514,0.225127
861.0150,0.230313
862.8787,0.235522
864.7424,0.240461
866.6060,0.245050
868.4697,0.249265
870.3334,0.253264
872.1971,0.256944
874.0607,0.260486
875.9244,0.264377
877.7881,0.268246
879.6517,0.271836
881.5154,0.275832
883.3791,0.280382
885.2427,0.285313
887.1064,0.290278
888.9701,0.295609
890.8337,0.301603
892.6974,0.307922
894.5611,0.314107
896.4247,0.320364
898.2884,0.326804
900.1521,0.333107
902.0158,0.339242
903.8794,0.345303
905.7431,0.350980
907.6068,0.356389
909.4704,0.361417
911.3341,0.366144
913.1978,0.370566
915.0614,0.374649
916.9251,0.378503
918.7888,0.382277
920.6524,0.386102
922.5161,0.389830
924.3798,0.393324
926.2435,0.396819
928.1071,0.400504
929.9708,0.404460
931.8345,0.408600
933.6981,0.413060
935.5618,0.417592
937.4255,0.421926
939.2891,0.426135
941.1528,0.430251
943.0165,0.433959
944.8801,0.436799
946.7438,0.438474
948.6075,0.439370
950.4711,0.439502
952.3348,0.438439
954.1985,0.436294
956.0622,0.433527
957.9258,0.430162
959.7895,0.426449
961.6532,0.422580
963.5168,0.418689
965.3805,0.414873
967.2442,0.411252
969.1078,0.408398
970.9715,0.406192
972.8352,0.404176
974.6988,0.402162
976.5625,0.400319
978.4262,0.398734
980.2899,0.396829
982.1535,0.394387
984.0172,0.391483
985.8809,0.388280
987.7445,0.384356
989.6082,0.379369
991.4719,0.373532
993.3355,0.367132
995.1992,0.360363
997.0629,0.353130
998.9265,0.345403
1000.7902,0.337518
1002.6539,0.329589
1004.5175,0.321608
1006.3812,0.313504
1008.2449,0.305283
1010.1086,0.296875
1011.9722,0.288374
1013.8359,0.280069
1015.6996,0.271806
1017.5632,0.263548
1019.4269,0.255607
1021.2906,0.248008
1023.1542,0.240781
1025.0179,0.234113
1026.8816,0.227815
1028.7452,0.221457
1030.6089,0.215190
1032.4726,0.209351
1034.3362,0.203763
1036.1999,0.198139
1038.0636,0.192610
1039.9273,0.187434
1041.7909,0.182513
1043.6546,0.177735
1045.5183,0.173246
1047.3819,0.169158
1049.2456,0.165434
1051.1093,0.161918
1052.9729,0.158541
1054.8366,0.155412
1056.7003,0.152576
1058.5639,0.149849
1060.4276,0.147174
1062.2913,0.144600
1064.1550,0.142074
1066.0186,0.139656
1067.8823,0.137341
1069.7460,0.134922
1071.6096,0.132415
1073.4733,0.129977
1075.3370,0.127561
1077.2006,0.125061
1079.0643,0.122496
1080.9280,0.119972
1082.7916,0.117505
1084.6553,0.115062
1086.5190,0.112586
1088.3826,0.110107
1090.2463,0.107729
1092.1100,0.105322
1093.9737,0.102835
1095.8373,0.100262
1097.7010,0.097614
1099.5647,0.095111
1101.4283,0.092702
1103.2920,0.090148
1105.1557,0.087599
1107.0193,0.085179
1108.8830,0.082769
1110.7467,0.080452
1112.6103,0.078183
1114.4740,0.075788
1116.3377,0.073578
1118.2014,0.071574
1120.0650,0.069498
1121.9287,0.067599
1123.7924,0.066031
1125.6560,0.064633
1127.5197,0.063269
1129.3834,0.061915
1131.2470,0.060649
1133.1107,0.059512
1134.9744,0.058545
1136.8380,0.057655
1138.7017,0.056784
1140.5654,0.055895
1142.4290,0.054995
1144.2927,0.054105
1146.1564,0.053244
1148.0201,0.052404
1149.8837,0.051613
1151.7474,0.050886
1153.6111,0.049967
1155.4747,0.048953
1157.3384,0.048102
1159.2021,0.047231
1161.0657,0.046159
1162.9294,0.044942
1164.7931,0.043687
1166.6567,0.042483
1168.5204,0.041248
1170.3841,0.039949
1172.2477,0.038641
1174.1114,0.037374
1175.9751,0.036190
1177.8388,0.034970
1179.7024,0.033689
1181.5661,0.032431
1183.4298,0.031184
1185.2934,0.029917
1187.1571,0.028701
1189.0208,0.027543
1190.8844,0.026334
1192.7481,0.025146
1194.6118,0.024021
1196.4754,0.022955
1198.3391,0.021963
1200.2028,0.020983
1202.0665,0.020006
1203.9301,0.019154
1205.7938,0.018484
1207.6575,0.017835
1209.5211,0.017095
1211.3848,0.016332
1213.2485,0.015708
1215.1121,0.015184
1216.9758,0.014681
1218.8395,0.014273
1220.7031,0.013954
1222.5668,0.013709
1224.4305,0.013436
1226.2941,0.013097
1228.1578,0.012820
1230.0215,0.012571
1231.8852,0.012374
1233.7488,0.012214
1235.6125,0.012095
1237.4762,0.012006
1239.3398,0.011851
1241.2035,0.011700
1243.0672,0.011566
1244.9308,0.011404
1246.7945,0.011300
1248.6582,0.011217
1250.5218,0.011102
1252.3855,0.011003
1254.2492,0.010904
1256.1129,0.010780
1257.9765,0.010596
1259.8402,0.010349
1261.7039,0.010327
1263.5675,0.010383
1265.4312,0.010363
1267.2949,0.010414
1269.1585,0.010434
1271.0222,0.010397
1272.8859,0.010390
1274.7495,0.010404
1276.6132,0.010373
1278.4769,0.010382
1280.3405,0.010445
1282.2042,0.010443
1284.0679,0.010343
1285.9316,0.010248
1287.7952,0.010166
1289.6589,0.010208
1291.5226,0.010354
1293.3862,0.010375
1295.2499,0.010323
1297.1136,0.010321
1298.9772,0.010370
1300.8409,0.010366
1302.7046,0.010311
1304.5682,0.010296
1306.4319,0.010343
1308.2956,0.010372
1310.1592,0.010312
1312.0229,0.010269
1313.8866,0.010352
1315.7503,0.010502
1317.6139,0.010411
1319.4776,0.010304
1321.3413,0.010437
1323.2049,0.010560
1325.0686,0.010617
1326.9323,0.010678
1328.7959,0.010651
1330.6596,0.010627
1332.5233,0.010666
1334.3869,0.010700
1336.2506,0.010664
1338.1143,0.010644
1339.9780,0.010676
1341.8416,0.010863
1343.7053,0.010985
1345.5690,0.010997
1347.4326,0.011076
1349.2963,0.011172
1351.1600,0.011314
1353.0236,0.011359
1354.8873,0.011397
1356.7510,0.011531
1358.6146,0.011621
1360.4783,0.011496
1362.3420,0.011376
1364.2056,0.011712
1366.0693,0.012058
1367.9330,0.011980
1369.7967,0.012036
