Wavenumber,Intensity
600.1014,0.008908
601.9651,0.005881
603.8287,0.001464
605.6924,0.003389
607.5561,-0.000165
609.4197,-0.005565
611.2834,-0.007250
613.1471,-0.008872
615.0107,-0.001041
616.8744,0.001709
618.7381,-0.003678
620.6017,0.001740
622.4654,0.004474
624.3291,-0.001695
626.1928,-0.001726
628.0564,0.002452
629.9201,0.001922
631.7838,0.002242
633.6474,0.001122
635.5111,-0.000453
637.3748,-0.001781
639.2384,-0.002384
641.1021,0.000197
642.9658,0.001495
644.8294,0.001314
646.6931,0.000415
648.5568,-0.000106
650.4205,0.000914
652.2841,0.000440
654.1478,0.000684
656.0115,0.001513
657.8751,-0.000485
659.7388,-0.001875
661.6025,-0.000018
663.4661,0.000606
665.3298,0.000400
667.1935,0.001993
669.0571,0.002201
670.9208,0.001287
672.7845,0.001135
674.6481,0.001069
676.5118,0.000253
678.3755,-0.001024
680.2392,-0.000371
682.1028,0.000624
683.9665,0.000703
685.8302,0.000413
687.6938,0.000241
689.5575,0.000398
691.4212,0.000632
693.2848,0.000638
695.1485,0.001349
697.0122,0.001306
698.8758,0.000596
700.7395,0.000794
702.6032,0.000844
704.4669,0.000242
706.3305,0.001149
708.1942,0.001517
710.0579,0.000827
711.9215,0.000116
713.7852,-0.000042
715.6489,0.000457
717.5125,0.001069
719.3762,0.001186
721.2399,0.000940
723.1035,0.000655
724.9672,0.000759
726.8309,0.000788
728.6945,0.000657
730.5582,0.000311
732.4219,0.000342
734.2856,0.000520
736.1492,0.000321
738.0129,0.000316
739.8766,0.000449
741.7402,0.000433
743.6039,0.000628
745.4676,0.000655
747.3312,0.000586
749.1949,0.000786
751.0586,0.000735
752.9222,0.000563
754.7859,0.000962
756.6496,0.001246
758.5132,0.000678
760.3769,0.000444
762.2406,0.000631
764.1043,0.000802
765.9679,0.000741
767.8316,0.000808
769.6953,0.000928
771.5589,0.000974
773.4226,0.000915
775.2863,0.000894
777.1499,0.001271
779.0136,0.001365
780.8773,0.001145
782.7409,0.001151
784.6046,0.000912
786.4683,0.000476
788.3320,0.000468
790.1956,0.000776
792.0593,0.000816
793.9230,0.000825
795.7866,0.001055
797.6503,0.001262
799.5140,0.001312
801.3776,0.001200
803.2413,0.000846
805.1050,0.000464
806.9686,0.000421
808.8323,0.000231
810.6960,0.000082
812.5596,0.000022
814.4233,0.000037
816.2870,0.000147
818.1507,0.000093
820.0143,-0.000031
821.8780,-0.000005
823.7417,0.000087
825.6053,0.000036
827.4690,0.000125
829.3327,0.000194
831.1963,0.000008
833.0600,0.000038
834.9237,0.000175
836.7873,0.000213
838.6510,0.000339
840.5147,0.000225
842.3784,-0.000030
844.2420,0.000073
846.1057,0.000313
847.9694,0.000445
849.8330,0.000339
851.6967,0.000076
853.5604,0.000179
855.4240,0.000440
857.2877,0.000294
859.1514,0.000044
861.0150,0.000161
862.8787,0.000357
864.7424,0.000245
866.6060,0.000213
868.4697,0.000300
870.3334,0.000230
872.1971,0.000126
874.0607,0.000249
875.9244,0.000340
877.7881,0.000279
879.6517,0.000252
881.5154,0.000329
883.3791,0.000396
885.2427,0.000564
887.1064,0.000510
888.9701,0.000316
890.8337,0.000282
892.6974,0.000256
894.5611,0.000256
896.4247,0.000337
898.2884,0.000352
900.1521,0.000354
902.0158,0.000312
903.8794,0.000321
905.7431,0.000323
907.6068,0.000317
909.4704,0.000279
911.3341,0.000331
913.1978,0.000325
915.0614,0.000282
916.9251,0.000461
918.7888,0.000465
920.6524,0.000277
922.5161,0.000304
924.3798,0.000453
926.2435,0.000496
928.1071,0.000471
929.9708,0.000502
931.8345,0.000488
933.6981,0.000410
935.5618,0.000349
937.4255,0.000338
939.2891,0.000366
941.1528,0.000360
943.0165,0.000331
944.8801,0.000349
946.7438,0.000478
948.6075,0.000551
950.4711,0.000441
952.3348,0.000357
954.1985,0.000456
956.0622,0.000558
957.9258,0.000475
959.7895,0.000409
961.6532,0.000459
963.5168,0.000553
965.3805,0.000554
967.2442,0.000390
969.1078,0.000362
970.9715,0.000536
972.8352,0.000599
974.6988,0.000536
976.5625,0.000481
978.4262,0.000492
980.2899,0.000639
982.1535,0.000711
984.0172,0.000676
985.8809,0.000747
987.7445,0.000760
989.6082,0.000644
991.4719,0.000541
993.3355,0.000546
995.1992,0.000613
997.0629,0.000715
998.9265,0.000742
1000.7902,0.000665
1002.6539,0.000620
1004.5175,0.000641
1006.3812,0.000671
1008.2449,0.000628
1010.1086,0.000643
1011.9722,0.000734
1013.8359,0.000755
1015.6996,0.000773
1017.5632,0.000814
1019.4269,0.000762
1021.2906,0.000788
1023.1542,0.000937
1025.0179,0.001024
1026.8816,0.000959
1028.7452,0.000887
1030.6089,0.000901
1032.4726,0.000941
1034.3362,0.001010
1036.1999,0.001103
1038.0636,0.001107
1039.9273,0.001158
1041.7909,0.001139
1043.6546,0.001102
1045.5183,0.001174
1047.3819,0.001244
1049.2456,0.001295
1051.1093,0.001257
1052.9729,0.001239
1054.8366,0.001260
1056.7003,0.001266
1058.5639,0.001273
1060.4276,0.001269
1062.2913,0.001243
1064.1550,0.001206
1066.0186,0.001189
1067.8823,0.001197
1069.7460,0.001257
1071.6096,0.001271
1073.4733,0.001219
1075.3370,0.001216
1077.2006,0.001247
1079.0643,0.001280
1080.9280,0.001354
1082.7916,0.001379
1084.6553,0.001311
1086.5190,0.001306
1088.3826,0.001289
1090.2463,0.001255
1092.1100,0.001264
1093.9737,0.001249
1095.8373,0.001227
1097.7010,0.001195
1099.5647,0.001214
1101.4283,0.001201
1103.2920,0.001121
1105.1557,0.001055
1107.0193,0.001101
1108.8830,0.001160
1110.7467,0.001039
1112.6103,0.000904
1114.4740,0.000986
1116.3377,0.001077
1118.2014,0.001051
1120.0650,0.001014
1121.9287,0.000959
1123.7924,0.000923
1125.6560,0.000872
1127.5197,0.000775
1129.3834,0.000725
1131.2470,0.000712
1133.1107,0.000646
1134.9744,0.000668
1136.8380,0.000742
1138.7017,0.000636
1140.5654,0.000585
1142.4290,0.000650
1144.2927,0.000619
1146.1564,0.000569
1148.0201,0.000573
1149.8837,0.000551
1151.7474,0.000477
1153.6111,0.000421
1155.4747,0.000369
1157.3384,0.000384
1159.2021,0.000399
1161.0657,0.000459
1162.9294,0.000530
1164.7931,0.000516
1166.6567,0.000448
1168.5204,0.000426
1170.3841,0.000427
1172.2477,0.000326
1174.1114,0.000211
1175.9751,0.000201
1177.8388,0.000273
1179.7024,0.000277
1181.5661,0.000252
1183.4298,0.000261
1185.2934,0.000222
1187.1571,0.000108
1189.0208,0.000081
1190.8844,0.000117
1192.7481,0.000130
1194.6118,0.000100
1196.4754,0.000055
1198.3391,0.000004
1200.2028,-0.000014
1202.0665,-0.000032
1203.9301,-0.000028
1205.7938,-0.000019
1207.6575,0.000017
1209.5211,-0.000038
1211.3848,-0.000112
1213.2485,-0.000140
1215.1121,-0.000177
1216.9758,-0.000156
1218.8395,-0.000145
1220.7031,-0.000146
1222.5668,-0.000182
1224.4305,-0.000284
1226.2941,-0.000337
1228.1578,-0.000316
1230.0215,-0.000265
1231.8852,-0.000200
1233.7488,-0.000188
1235.6125,-0.000289
1237.4762,-0.000360
1239.3398,-0.000351
1241.2035,-0.000311
1243.0672,-0.000313
1244.9308,-0.000383
1246.7945,-0.000353
1248.6582,-0.000335
1250.5218,-0.000397
1252.3855,-0.000346
1254.2492,-0.000288
1256.1129,-0.000344
1257.9765,-0.000428
1259.8402,-0.000478
1261.7039,-0.000458
1263.5675,-0.000406
1265.4312,-0.000427
1267.2949,-0.000499
1269.1585,-0.000497
1271.0222,-0.000514
1272.8859,-0.000447
1274.7495,-0.000338
1276.6132,-0.000346
1278.4769,-0.000352
1280.3405,-0.000293
1282.2042,-0.000348
1284.0679,-0.000407
1285.9316,-0.000442
1287.7952,-0.000489
1289.6589,-0.000520
1291.5226,-0.000491
1293.3862,-0.000459
1295.2499,-0.000462
1297.1136,-0.000477
1298.9772,-0.000448
1300.8409,-0.000389
1302.7046,-0.000452
1304.5682,-0.000575
1306.4319,-0.000575
1308.2956,-0.000550
1310.1592,-0.000512
1312.0229,-0.000474
1313.8866,-0.000502
1315.7503,-0.000473
1317.6139,-0.000431
1319.4776,-0.000407
1321.3413,-0.000388
1323.2049,-0.000411
1325.0686,-0.000431
1326.9323,-0.000461
1328.7959,-0.000427
1330.6596,-0.000470
1332.5233,-0.000564
1334.3869,-0.000494
1336.2506,-0.000414
1338.1143,-0.000471
1339.9780,-0.000558
1341.8416,-0.000540
1343.7053,-0.000551
1345.5690,-0.000537
1347.4326,-0.000515
1349.2963,-0.000545
1351.1600,-0.000491
1353.0236,-0.000453
1354.8873,-0.000461
1356.7510,-0.000468
1358.6146,-0.000461
1360.4783,-0.000455
1362.3420,-0.000470
1364.2056,-0.000457
1366.0693,-0.000506
1367.9330,-0.000589
1369.7967,-0.000592
1371.6603,-0.000495
1373.5240,-0.000410
1375.3877,-0.000532
1377.2513,-0.000580
1379.1150,-0.000506
1380.9787,-0.000553
1382.8423,-0.000586
1384.7060,-0.000523
1386.5697,-0.000415
1388.4333,-0.000514
1390.2970,-0.000585
1392.1607,-0.000512
1394.0244,-0.000453
1395.8880,-0.000527
1397.7517,-0.000462
1399.6154,-0.000420
1401.4790,-0.000518
1403.3427,-0.000482
1405.2064,-0.000534
1407.0700,-0.000660
1408.9337,-0.000588
1410.7974,-0.000470
1412.6610,-0.000459
1414.5247,-0.000417
1416.3884,-0.000344
1418.2520,-0.000465
1420.1157,-0.000763
1421.9794,-0.000739
1423.8431,-0.000546
1425.7067,-0.000566
1427.5704,-0.000581
1429.4341,-0.000528
1431.2977,-0.000643
1433.1614,-0.000723
1435.0251,-0.000453
1436.8887,-0.000390
1438.7524,-0.000716
1440.6161,-0.000657
1442.4797,-0.000593
1444.3434,-0.000591
1446.2071,-0.000536
1448.0707,-0.000510
1449.9344,-0.000633
1451.7981,-0.000667
1453.6618,-0.000468
1455.5254,-0.000175
1457.3891,-0.000286
1459.2528,-0.000749
1461.1164,-0.000732
1462.9801,-0.000450
1464.8438,-0.000462
1466.7074,-0.000772
1468.5711,-0.000690
1470.4348,-0.000438
1472.2984,-0.000302
1474.1621,-0.000526
1476.0258,-0.000550
1477.8895,-0.000636
1479.7531,-0.000717
1481.6168,-0.000672
1483.4805,-0.000586
1485.3441,-0.000449
1487.2078,-0.000316
1489.0715,-0.000348
1490.9351,-0.000519
1492.7988,-0.000540
1494.6625,-0.000339
1496.5261,-0.000298
1498.3898,-0.000528
1500.2535,-0.000579
1502.1171,-0.000586
1503.9808,-0.000472
1505.8445,-0.000131
1507.7082,-0.000307
1509.5718,-0.000620
1511.4355,-0.000571
1513.2992,-0.000543
1515.1628,-0.000448
1517.0265,-0.000425
1518.8902,-0.000593
1520.7538,-0.000436
1522.6175,-0.000645
1524.4812,-0.000578
1526.3448,-0.000439
1528.2085,-0.000631
1530.0722,-0.000589
1531.9359,-0.000468
1533.7995,-0.000559
1535.6632,-0.000719
1537.5269,-0.000426
1539.3905,-0.000189
1541.2542,-0.000577
1543.1179,-0.000732
1544.9815,-0.000697
1546.8452,-0.000757
1548.7089,-0.000602
1550.5725,-0.000569
1552.4362,-0.000676
1554.2999,-0.000590
1556.1635,-0.000414
1558.0272,0.000352
1559.8909,-0.000057
1561.7546,-0.000895
1563.6182,-0.000842
1565.4819,-0.000727
1567.3456,-0.000648
1569.2092,-0.000602
1571.0729,-0.000867
1572.9366,-0.000753
1574.8002,-0.000429
1576.6639,-0.000498
1578.5276,-0.000681
1580.3912,-0.000510
1582.2549,-0.000391
1584.1186,-0.000460
1585.9822,-0.000514
1587.8459,-0.000507
1589.7096,-0.000643
1591.5733,-0.000756
1593.4369,-0.000659
1595.3006,-0.000644
1597.1643,-0.000797
1599.0279,-0.000847
1600.8916,-0.000806
1602.7553,-0.000796
1604.6189,-0.000724
1606.4826,-0.000527
1608.3463,-0.000503
1610.2099,-0.000733
1612.0736,-0.000748
1613.9373,-0.000638
1615.8010,-0.000467
1617.6646,-0.000540
1619.5283,-0.000641
1621.3920,-0.000639
1623.2556,-0.000825
1625.1193,-0.000857
1626.9830,-0.000571
1628.8466,-0.000449
1630.7103,-0.000644
1632.5740,-0.000763
1634.4376,-0.000593
1636.3013,-0.000619
1638.1650,-0.000924
1640.0286,-0.000970
1641.8923,-0.000951
1643.7560,-0.000679
1645.6197,-0.000439
1647.4833,-0.000841
1649.3470,-0.000796
1651.2107,-0.000084
1653.0743,-0.000015
1654.9380,-0.001125
1656.8017,-0.000930
1658.6653,-0.000659
1660.5290,-0.000680
1662.3927,-0.000756
1664.2563,-0.000809
1666.1200,-0.000669
1667.9837,-0.000490
1669.8474,-0.000525
1671.7110,-0.000630
1673.5747,-0.000544
1675.4384,-0.000707
1677.3020,-0.000991
1679.1657,-0.000728
1681.0294,-0.000575
1682.8930,-0.000465
1684.7567,-0.000597
1686.6204,-0.000864
1688.4840,-0.000596
1690.3477,-0.000692
1692.2114,-0.000747
1694.0750,-0.000501
1695.9387,-0.000499
1697.8024,-0.000623
1699.6661,-0.000148
1701.5297,-0.000679
1703.3934,-0.000875
1705.2571,-0.000720
1707.1207,-0.000983
1708.9844,-0.000987
1710.8481,-0.000839
1712.7117,-0.000732
1714.5754,-0.000651
1716.4391,-0.000361
1718.3027,-0.000310
1720.1664,-0.000723
1722.0301,-0.000598
1723.8937,-0.000515
1725.7574,-0.000676
1727.6211,-0.000692
1729.4848,-0.000572
1731.3484,-0.000495
1733.2121,-0.000299
1735.0758,-0.000513
1736.9394,-0.000817
1738.8031,-0.000801
1740.6668,-0.000745
1742.5304,-0.000549
1744.3941,-0.000557
1746.2578,-0.000606
1748.1214,-0.000562
1749.9851,-0.000676
1751.8488,-0.000752
1753.7125,-0.000725
1755.5761,-0.000711
1757.4398,-0.000798
1759.3035,-0.000764
1761.1671,-0.000696
1763.0308,-0.000838
1764.8945,-0.000929
1766.7581,-0.000819
1768.6218,-0.000653
1770.4855,-0.000512
1772.3491,-0.000399
1774.2128,-0.000765
1776.0765,-0.000925
1777.9401,-0.000831
1779.8038,-0.000654
1781.6675,-0.000655
1783.5312,-0.000696
1785.3948,-0.000791
1787.2585,-0.000881
1789.1222,-0.000694
1790.9858,-0.000566
1792.8495,-0.000848
1794.7132,-0.001017
1796.5768,-0.000788
1798.4405,-0.000479
1800.3042,-0.000470
1802.1678,-0.000741
1804.0315,-0.000779
1805.8952,-0.000693
1807.7589,-0.000591
1809.6225,-0.000564
1811.4862,-0.000647
1813.3499,-0.000800
1815.2135,-0.000805
1817.0772,-0.000555
1818.9409,-0.000541
1820.8045,-0.000716
1822.6682,-0.000777
1824.5319,-0.000782
1826.3955,-0.000728
1828.2592,-0.000662
1830.1229,-0.000793
1831.9865,-0.000983
1833.8502,-0.000775
1835.7139,-0.000855
1837.5776,-0.001002
1839.4412,-0.000783
1841.3049,-0.000461
1843.1686,-0.000408
1845.0322,-0.000732
1846.8959,-0.000806
1848.7596,-0.000768
1850.6232,-0.000887
1852.4869,-0.000837
1854.3506,-0.000889
1856.2142,-0.000932
1858.0779,-0.000896
1859.9416,-0.000990
1861.8052,-0.000875
1863.6689,-0.000727
1865.5326,-0.000626
1867.3963,-0.000376
1869.2599,-0.000411
1871.1236,-0.000727
1872.9873,-0.000808
1874.8509,-0.000719
1876.7146,-0.000890
1878.5783,-0.001030
1880.4419,-0.000819
1882.3056,-0.000593
1884.1693,-0.000612
1886.0329,-0.000673
1887.8966,-0.000687
1889.7603,-0.000842
1891.6240,-0.001059
1893.4876,-0.000973
1895.3513,-0.000826
1897.2150,-0.000750
1899.0786,-0.000610
1900.9423,-0.000758
1902.8060,-0.001077
1904.6696,-0.000943
1906.5333,-0.000553
1908.3970,-0.000559
1910.2606,-0.001013
1912.1243,-0.001136
1913.9880,-0.000866
1915.8516,-0.000721
1917.7153,-0.000945
1919.5790,-0.000658
1921.4427,-0.000337
1923.3063,-0.000717
1925.1700,-0.000831
1927.0337,-0.000567
1928.8973,-0.000623
1930.7610,-0.000694
1932.6247,-0.000561
