Wavenumber,Intensity
600.1014,0.005829
601.9651,0.005004
603.8287,0.002092
605.6924,-0.001836
607.5561,-0.004061
609.4197,-0.002749
611.2834,0.002905
613.1471,0.002930
615.0107,0.005445
616.8744,0.003644
618.7381,0.000338
620.6017,0.001868
622.4654,0.002300
624.3291,0.001716
626.1928,0.001118
628.0564,0.001403
629.9201,0.002852
631.7838,0.002577
633.6474,0.001553
635.5111,0.004628
637.3748,0.007102
639.2384,0.004371
641.1021,0.003065
642.9658,0.002476
644.8294,0.001883
646.6931,0.003945
648.5568,0.004507
650.4205,0.003059
652.2841,0.001972
654.1478,0.001549
656.0115,0.003173
657.8751,0.003945
659.7388,0.003554
661.6025,0.002450
663.4661,0.002290
665.3298,0.002931
667.1935,0.008684
669.0571,0.009031
670.9208,0.003847
672.7845,0.003588
674.6481,0.004275
676.5118,0.003944
678.3755,0.003746
680.2392,0.004455
682.1028,0.004883
683.9665,0.005386
685.8302,0.006010
687.6938,0.005484
689.5575,0.004952
691.4212,0.006895
693.2848,0.008406
695.1485,0.008612
697.0122,0.008263
698.8758,0.007053
700.7395,0.005292
702.6032,0.004199
704.4669,0.003593
706.3305,0.003305
708.1942,0.003384
710.0579,0.003729
711.9215,0.003535
713.7852,0.002913
715.6489,0.002870
717.5125,0.003021
719.3762,0.003448
721.2399,0.003723
723.1035,0.003440
724.9672,0.003066
726.8309,0.002892
728.6945,0.003128
730.5582,0.003164
732.4219,0.003592
734.2856,0.003764
736.1492,0.003859
738.0129,0.003784
739.8766,0.003755
741.7402,0.003654
743.6039,0.003744
745.4676,0.004156
747.3312,0.004511
749.1949,0.004403
751.0586,0.004607
752.9222,0.004590
754.7859,0.004604
756.6496,0.005048
758.5132,0.005503
760.3769,0.006010
762.2406,0.006104
764.1043,0.005999
765.9679,0.006723
767.8316,0.007842
769.6953,0.009199
771.5589,0.010893
773.4226,0.013375
775.2863,0.016435
777.1499,0.019151
779.0136,0.020541
780.8773,0.020184
782.7409,0.018440
784.6046,0.016277
786.4683,0.014440
788.3320,0.013596
790.1956,0.014505
792.0593,0.016283
793.9230,0.018309
795.7866,0.020813
797.6503,0.022531
799.5140,0.022436
801.3776,0.020791
803.2413,0.018148
805.1050,0.014666
806.9686,0.011128
808.8323,0.008163
810.6960,0.006120
812.5596,0.004822
814.4233,0.004053
816.2870,0.003306
818.1507,0.002625
820.0143,0.002525
821.8780,0.002623
823.7417,0.002441
825.6053,0.002321
827.4690,0.002389
829.3327,0.002406
831.1963,0.002404
833.0600,0.002471
834.9237,0.002317
836.7873,0.002194
838.6510,0.002309
840.5147,0.002318
842.3784,0.002007
844.2420,0.001898
846.1057,0.001993
847.9694,0.002164
849.8330,0.002294
851.6967,0.002278
853.5604,0.002304
855.4240,0.002445
857.2877,0.002501
859.1514,0.002537
861.0150,0.002457
862.8787,0.002406
864.7424,0.002476
866.6060,0.002467
868.4697,0.002323
870.3334,0.002315
872.1971,0.002491
874.0607,0.002695
875.9244,0.002699
877.7881,0.002619
879.6517,0.002643
881.5154,0.002943
883.3791,0.003119
885.2427,0.003027
887.1064,0.002924
888.9701,0.002824
890.8337,0.002948
892.6974,0.003235
894.5611,0.003330
896.4247,0.003359
898.2884,0.003345
900.1521,0.003378
902.0158,0.003309
903.8794,0.003303
905.7431,0.003443
907.6068,0.003561
909.4704,0.003692
911.3341,0.003940
913.1978,0.004068
915.0614,0.004055
916.9251,0.004056
918.7888,0.004065
920.6524,0.004038
922.5161,0.004214
924.3798,0.004416
926.2435,0.004473
928.1071,0.004501
929.9708,0.004750
931.8345,0.004902
933.6981,0.004919
935.5618,0.005048
937.4255,0.005164
939.2891,0.005154
941.1528,0.005343
943.0165,0.005574
944.8801,0.005807
946.7438,0.005987
948.6075,0.006083
950.4711,0.006108
952.3348,0.006144
954.1985,0.006318
956.0622,0.006460
957.9258,0.006455
959.7895,0.006491
961.6532,0.006581
963.5168,0.006713
965.3805,0.006789
967.2442,0.006929
969.1078,0.007183
970.9715,0.007382
972.8352,0.007509
974.6988,0.007685
976.5625,0.007861
978.4262,0.008071
980.2899,0.008361
982.1535,0.008606
984.0172,0.008808
985.8809,0.009016
987.7445,0.009277
989.6082,0.009639
991.4719,0.009956
993.3355,0.010242
995.1992,0.010585
997.0629,0.010887
998.9265,0.011073
1000.7902,0.011397
1002.6539,0.011856
1004.5175,0.012162
1006.3812,0.012426
1008.2449,0.012746
