Wavenumber,Intensity
600.1014,0.232284
601.9651,0.208043
603.8287,0.201261
605.6924,0.217565
607.5561,0.220861
609.4197,0.211011
611.2834,0.213123
613.1471,0.216087
615.0107,0.213604
616.8744,0.215569
618.7381,0.211554
620.6017,0.202326
622.4654,0.199125
624.3291,0.209437
626.1928,0.220930
628.0564,0.221242
629.9201,0.222345
631.7838,0.220621
633.6474,0.218758
635.5111,0.218808
637.3748,0.216252
639.2384,0.215239
641.1021,0.218978
642.9658,0.223167
644.8294,0.222815
646.6931,0.223379
648.5568,0.224629
650.4205,0.223594
652.2841,0.221438
654.1478,0.217711
656.0115,0.215859
657.8751,0.215516
659.7388,0.216278
661.6025,0.216392
663.4661,0.214610
665.3298,0.215677
667.1935,0.216681
669.0571,0.214193
670.9208,0.214572
672.7845,0.215235
674.6481,0.213440
676.5118,0.211321
678.3755,0.208108
680.2392,0.205249
682.1028,0.203123
683.9665,0.199805
685.8302,0.194566
687.6938,0.190564
689.5575,0.187532
691.4212,0.183217
693.2848,0.179186
695.1485,0.176289
697.0122,0.173211
698.8758,0.171226
700.7395,0.171004
702.6032,0.170616
704.4669,0.170917
706.3305,0.173066
708.1942,0.174954
710.0579,0.176205
711.9215,0.177791
713.7852,0.179687
715.6489,0.181671
717.5125,0.184119
719.3762,0.186786
721.2399,0.188093
723.1035,0.188313
724.9672,0.188246
726.8309,0.188084
728.6945,0.187233
730.5582,0.185579
732.4219,0.184079
734.2856,0.183233
736.1492,0.182906
738.0129,0.182393
739.8766,0.181433
741.7402,0.180548
743.6039,0.179456
745.4676,0.178092
747.3312,0.177319
749.1949,0.176476
751.0586,0.175875
752.9222,0.175440
754.7859,0.175676
756.6496,0.175946
758.5132,0.175315
760.3769,0.174557
762.2406,0.173626
764.1043,0.171967
765.9679,0.170206
767.8316,0.168425
769.6953,0.166429
771.5589,0.164569
773.4226,0.162986
775.2863,0.161613
777.1499,0.160757
779.0136,0.159838
780.8773,0.158888
782.7409,0.158281
784.6046,0.158207
786.4683,0.158455
788.3320,0.159227
790.1956,0.159458
792.0593,0.158920
793.9230,0.158682
795.7866,0.158864
797.6503,0.159319
799.5140,0.159866
801.3776,0.160632
803.2413,0.161841
805.1050,0.163290
806.9686,0.164629
808.8323,0.165951
810.6960,0.167206
812.5596,0.168617
814.4233,0.170393
816.2870,0.171481
818.1507,0.172039
820.0143,0.172081
821.8780,0.171528
823.7417,0.170998
825.6053,0.170747
827.4690,0.170976
829.3327,0.171730
831.1963,0.173193
833.0600,0.175746
834.9237,0.178763
836.7873,0.182251
838.6510,0.186268
840.5147,0.190576
842.3784,0.195056
