Wavenumber,Intensity
600.1014,0.001214
601.9651,0.008938
603.8287,0.001078
605.6924,-0.001061
607.5561,-0.001096
609.4197,-0.002741
611.2834,-0.001700
613.1471,-0.002429
615.0107,-0.006277
616.8744,-0.005403
618.7381,-0.005319
620.6017,-0.000423
622.4654,0.000819
624.3291,-0.000997
626.1928,0.000918
628.0564,0.000499
629.9201,-0.003674
631.7838,-0.005037
633.6474,-0.004618
635.5111,-0.003470
637.3748,0.000831
639.2384,0.001719
641.1021,-0.000310
642.9658,-0.003315
644.8294,-0.002270
646.6931,0.000288
648.5568,0.000868
650.4205,0.000579
652.2841,0.000501
654.1478,-0.000073
656.0115,-0.001081
657.8751,-0.000850
659.7388,-0.000462
661.6025,-0.000991
663.4661,-0.001720
665.3298,-0.001296
667.1935,-0.000248
669.0571,0.001476
670.9208,0.001750
672.7845,0.000755
674.6481,-0.000232
676.5118,-0.000468
678.3755,-0.000508
680.2392,-0.000440
682.1028,-0.000152
683.9665,0.000059
685.8302,-0.000923
687.6938,-0.000581
689.5575,-0.000201
691.4212,-0.000721
693.2848,0.000211
695.1485,0.000518
697.0122,-0.000240
698.8758,-0.000357
700.7395,-0.000319
702.6032,-0.000745
704.4669,-0.001220
706.3305,-0.001081
708.1942,-0.000267
710.0579,-0.000280
711.9215,-0.000855
713.7852,-0.000665
715.6489,-0.000347
717.5125,-0.000310
719.3762,-0.000554
721.2399,-0.000277
723.1035,-0.000049
724.9672,0.000019
726.8309,-0.000025
728.6945,-0.000502
730.5582,-0.000644
732.4219,-0.000689
734.2856,-0.001067
736.1492,-0.001113
738.0129,-0.000817
739.8766,-0.000292
741.7402,-0.000079
743.6039,-0.000345
745.4676,-0.000429
747.3312,-0.000544
749.1949,-0.000446
751.0586,-0.000139
752.9222,-0.000061
754.7859,-0.000213
756.6496,-0.000319
758.5132,-0.000003
760.3769,-0.000186
762.2406,-0.000465
764.1043,-0.000180
765.9679,-0.000137
767.8316,-0.000295
769.6953,-0.000167
771.5589,-0.000060
773.4226,-0.000146
775.2863,-0.000151
777.1499,-0.000202
779.0136,-0.000184
780.8773,-0.000254
782.7409,-0.000335
784.6046,-0.000409
786.4683,-0.000377
788.3320,-0.000189
790.1956,-0.000025
792.0593,-0.000121
793.9230,-0.000127
795.7866,-0.000112
797.6503,-0.000267
799.5140,-0.000416
801.3776,-0.000558
803.2413,-0.000667
805.1050,-0.000624
806.9686,-0.000443
808.8323,-0.000598
810.6960,-0.000709
812.5596,-0.000738
814.4233,-0.000604
816.2870,-0.000815
818.1507,-0.000845
820.0143,-0.000700
821.8780,-0.001016
823.7417,-0.001137
825.6053,-0.001044
827.4690,-0.000964
829.3327,-0.000898
831.1963,-0.001046
833.0600,-0.001072
834.9237,-0.000904
836.7873,-0.000878
838.6510,-0.000992
840.5147,-0.000999
842.3784,-0.000974
844.2420,-0.000919
846.1057,-0.000856
847.9694,-0.000823
849.8330,-0.000694
851.6967,-0.000724
853.5604,-0.000768
855.4240,-0.000825
857.2877,-0.000836
859.1514,-0.000785
861.0150,-0.000783
862.8787,-0.000643
864.7424,-0.000681
866.6060,-0.000759
868.4697,-0.000807
870.3334,-0.000913
872.1971,-0.000767
874.0607,-0.000696
875.9244,-0.000597
877.7881,-0.000559
879.6517,-0.000696
881.5154,-0.000638
883.3791,-0.000464
885.2427,-0.000519
887.1064,-0.000686
888.9701,-0.000840
890.8337,-0.000897
892.6974,-0.000757
894.5611,-0.000472
896.4247,-0.000341
898.2884,-0.000534
900.1521,-0.000677
902.0158,-0.000553
903.8794,-0.000501
905.7431,-0.000484
907.6068,-0.000481
909.4704,-0.000397
911.3341,-0.000354
913.1978,-0.000358
915.0614,-0.000332
916.9251,-0.000295
918.7888,-0.000258
920.6524,-0.000279
922.5161,-0.000241
924.3798,-0.000339
926.2435,-0.000418
928.1071,-0.000385
929.9708,-0.000385
931.8345,-0.000257
933.6981,-0.000155
935.5618,-0.000123
937.4255,-0.000042
939.2891,-0.000031
941.1528,0.000026
943.0165,0.000165
944.8801,0.000271
946.7438,0.000193
948.6075,0.000088
950.4711,0.000051
952.3348,-0.000055
954.1985,-0.000176
956.0622,-0.000288
957.9258,-0.000320
959.7895,-0.000327
961.6532,-0.000303
963.5168,-0.000379
965.3805,-0.000477
967.2442,-0.000413
969.1078,-0.000329
970.9715,-0.000249
972.8352,-0.000310
974.6988,-0.000393
976.5625,-0.000228
978.4262,-0.000056
980.2899,-0.000137
982.1535,-0.000215
984.0172,-0.000115
985.8809,-0.000058
987.7445,-0.000033
989.6082,0.000033
991.4719,-0.000020
993.3355,-0.000055
995.1992,0.000097
997.0629,0.000143
998.9265,0.000103
1000.7902,0.000125
1002.6539,0.000141
1004.5175,0.000205
1006.3812,0.000245
1008.2449,0.000258
1010.1086,0.000290
1011.9722,0.000330
1013.8359,0.000357
1015.6996,0.000353
1017.5632,0.000354
1019.4269,0.000372
1021.2906,0.000348
1023.1542,0.000356
1025.0179,0.000430
1026.8816,0.000557
1028.7452,0.000589
1030.6089,0.000587
1032.4726,0.000653
1034.3362,0.000664
1036.1999,0.000667
1038.0636,0.000714
1039.9273,0.000778
1041.7909,0.000768
1043.6546,0.000735
1045.5183,0.000698
1047.3819,0.000659
1049.2456,0.000654
1051.1093,0.000557
1052.9729,0.000500
1054.8366,0.000472
1056.7003,0.000313
1058.5639,0.000140
1060.4276,0.000161
1062.2913,0.000231
1064.1550,0.000288
1066.0186,0.000349
1067.8823,0.000332
1069.7460,0.000234
1071.6096,0.000225
1073.4733,0.000134
1075.3370,-0.000099
1077.2006,-0.000183
1079.0643,-0.000138
1080.9280,-0.000136
1082.7916,-0.000261
1084.6553,-0.000313
1086.5190,-0.000296
1088.3826,-0.000381
1090.2463,-0.000468
1092.1100,-0.000494
1093.9737,-0.000526
1095.8373,-0.000647
1097.7010,-0.000737
1099.5647,-0.000710
1101.4283,-0.000690
1103.2920,-0.000706
1105.1557,-0.000733
1107.0193,-0.000775
1108.8830,-0.000781
1110.7467,-0.000777
1112.6103,-0.000774
1114.4740,-0.000766
