Wavenumber,Intensity
600.1014,0.007382
601.9651,0.005368
603.8287,0.000334
605.6924,0.002965
607.5561,0.008384
609.4197,0.005109
611.2834,-0.002107
613.1471,-0.004962
615.0107,0.001810
616.8744,0.004388
618.7381,-0.000806
620.6017,0.001485
622.4654,0.001445
624.3291,-0.004441
626.1928,-0.007284
628.0564,-0.004513
629.9201,-0.001750
631.7838,0.002710
633.6474,0.003402
635.5111,0.001063
637.3748,0.000530
639.2384,0.000599
641.1021,0.000347
642.9658,0.001254
644.8294,0.001550
646.6931,0.000261
648.5568,-0.001065
650.4205,-0.000727
652.2841,0.000245
654.1478,-0.000108
656.0115,0.000663
657.8751,0.001800
659.7388,0.002735
661.6025,0.002302
663.4661,0.000781
665.3298,0.000929
667.1935,0.004765
669.0571,0.005851
670.9208,0.001927
672.7845,0.000938
674.6481,0.001887
676.5118,0.001895
678.3755,0.001123
680.2392,0.001544
682.1028,0.001746
683.9665,0.001677
685.8302,0.001514
687.6938,0.001465
689.5575,0.001921
691.4212,0.002425
693.2848,0.002073
695.1485,0.001779
697.0122,0.001794
698.8758,0.001509
700.7395,0.000955
702.6032,0.000585
704.4669,0.000095
706.3305,0.000878
708.1942,0.001377
710.0579,0.000955
711.9215,0.000632
713.7852,0.000073
715.6489,0.000084
717.5125,0.000887
719.3762,0.001205
721.2399,0.001193
723.1035,0.001160
724.9672,0.001295
726.8309,0.001256
728.6945,0.001035
730.5582,0.001277
732.4219,0.001469
734.2856,0.000848
736.1492,0.000407
738.0129,0.001006
739.8766,0.001427
741.7402,0.001426
743.6039,0.001634
745.4676,0.001393
747.3312,0.000830
749.1949,0.000999
751.0586,0.001481
752.9222,0.001418
754.7859,0.001384
756.6496,0.001633
758.5132,0.001578
760.3769,0.001290
762.2406,0.001183
764.1043,0.001031
765.9679,0.000764
767.8316,0.001008
769.6953,0.001398
771.5589,0.001432
773.4226,0.001371
775.2863,0.001091
777.1499,0.000701
779.0136,0.000733
780.8773,0.000742
782.7409,0.000636
784.6046,0.000407
786.4683,0.000592
788.3320,0.000902
790.1956,0.001105
792.0593,0.001204
793.9230,0.001183
795.7866,0.001113
797.6503,0.000834
799.5140,0.000563
801.3776,0.000763
803.2413,0.000836
805.1050,0.000551
806.9686,0.000519
808.8323,0.000440
810.6960,0.000293
812.5596,0.000329
814.4233,0.000291
816.2870,0.000193
818.1507,0.000168
820.0143,0.000155
821.8780,0.000347
823.7417,0.000427
825.6053,0.000127
827.4690,0.000035
829.3327,0.000247
831.1963,0.000390
833.0600,0.000495
834.9237,0.000401
836.7873,0.000139
838.6510,-0.000006
840.5147,0.000277
842.3784,0.000537
844.2420,0.000408
846.1057,0.000326
847.9694,0.000504
849.8330,0.000557
851.6967,0.000663
853.5604,0.000781
855.4240,0.000714
857.2877,0.000686
859.1514,0.000667
861.0150,0.000719
862.8787,0.000879
864.7424,0.000804
866.6060,0.000628
868.4697,0.000593
870.3334,0.000582
872.1971,0.000580
874.0607,0.000748
875.9244,0.000854
877.7881,0.000916
879.6517,0.000968
881.5154,0.000658
883.3791,0.000611
885.2427,0.000763
887.1064,0.000807
888.9701,0.000902
890.8337,0.001070
892.6974,0.001015
894.5611,0.000997
896.4247,0.001125
898.2884,0.001131
900.1521,0.001059
902.0158,0.000882
903.8794,0.000888
905.7431,0.001029
907.6068,0.001047
909.4704,0.001178
911.3341,0.001192
913.1978,0.001099
915.0614,0.001142
916.9251,0.001171
918.7888,0.001063
920.6524,0.001007
922.5161,0.001087
924.3798,0.001093
926.2435,0.000962
928.1071,0.000954
929.9708,0.001065
931.8345,0.001135
933.6981,0.001189
935.5618,0.001102
937.4255,0.001027
939.2891,0.001010
941.1528,0.000938
943.0165,0.000985
944.8801,0.000991
946.7438,0.000984
948.6075,0.000966
950.4711,0.000954
952.3348,0.001115
954.1985,0.001152
956.0622,0.001066
957.9258,0.001010
959.7895,0.001029
961.6532,0.001052
963.5168,0.000969
965.3805,0.000909
967.2442,0.000970
969.1078,0.001093
970.9715,0.001101
972.8352,0.000985
974.6988,0.000939
976.5625,0.000994
978.4262,0.001082
980.2899,0.001106
982.1535,0.001155
984.0172,0.001259
985.8809,0.001134
987.7445,0.000981
989.6082,0.001038
991.4719,0.001145
993.3355,0.001157
995.1992,0.001187
997.0629,0.001185
998.9265,0.001248
1000.7902,0.001369
1002.6539,0.001343
1004.5175,0.001190
1006.3812,0.001175
1008.2449,0.001098
1010.1086,0.001058
1011.9722,0.001169
1013.8359,0.001182
1015.6996,0.001156
1017.5632,0.001101
1019.4269,0.001105
1021.2906,0.001200
1023.1542,0.001189
1025.0179,0.001100
1026.8816,0.001138
1028.7452,0.001164
1030.6089,0.001155
1032.4726,0.001210
1034.3362,0.001202
1036.1999,0.001104
1038.0636,0.001026
1039.9273,0.001009
1041.7909,0.000948
1043.6546,0.000867
1045.5183,0.000874
1047.3819,0.000876
1049.2456,0.000877
1051.1093,0.000837
1052.9729,0.000799
1054.8366,0.000801
1056.7003,0.000785
1058.5639,0.000732
1060.4276,0.000685
1062.2913,0.000646
1064.1550,0.000653
1066.0186,0.000511
1067.8823,0.000416
1069.7460,0.000466
1071.6096,0.000439
1073.4733,0.000405
1075.3370,0.000395
1077.2006,0.000351
1079.0643,0.000299
1080.9280,0.000326
1082.7916,0.000393
1084.6553,0.000422
1086.5190,0.000460
1088.3826,0.000436
1090.2463,0.000501
1092.1100,0.000551
1093.9737,0.000457
1095.8373,0.000399
1097.7010,0.000395
1099.5647,0.000394
1101.4283,0.000369
1103.2920,0.000447
1105.1557,0.000543
1107.0193,0.000531
1108.8830,0.000486
1110.7467,0.000555
1112.6103,0.000595
1114.4740,0.000612
