Wavenumber,Intensity
600.1014,0.023895
601.9651,0.024229
603.8287,0.022777
605.6924,0.020597
607.5561,0.024663
609.4197,0.025736
611.2834,0.027164
613.1471,0.025130
615.0107,0.027852
616.8744,0.029993
618.7381,0.031888
620.6017,0.031624
622.4654,0.027035
624.3291,0.028315
626.1928,0.031355
628.0564,0.028784
629.9201,0.028695
631.7838,0.030954
633.6474,0.032072
635.5111,0.033027
637.3748,0.033250
639.2384,0.032201
641.1021,0.031085
642.9658,0.031362
644.8294,0.031850
646.6931,0.034010
648.5568,0.035196
650.4205,0.032758
652.2841,0.030280
654.1478,0.029962
656.0115,0.031771
657.8751,0.032052
659.7388,0.031751
661.6025,0.030868
663.4661,0.032232
665.3298,0.033708
667.1935,0.037875
669.0571,0.038818
670.9208,0.034997
672.7845,0.034491
674.6481,0.034807
676.5118,0.035314
678.3755,0.036025
680.2392,0.036613
682.1028,0.037923
683.9665,0.039443
685.8302,0.040311
687.6938,0.041528
689.5575,0.043213
691.4212,0.046598
693.2848,0.050580
695.1485,0.052863
697.0122,0.051264
698.8758,0.046845
700.7395,0.042483
702.6032,0.040006
704.4669,0.038110
706.3305,0.036995
708.1942,0.037135
710.0579,0.037171
711.9215,0.035970
713.7852,0.034832
715.6489,0.034592
717.5125,0.034848
719.3762,0.035167
721.2399,0.035228
723.1035,0.035270
724.9672,0.035111
726.8309,0.035219
728.6945,0.035610
730.5582,0.035644
732.4219,0.036243
734.2856,0.036870
736.1492,0.037229
738.0129,0.037250
739.8766,0.037396
741.7402,0.037799
743.6039,0.038157
745.4676,0.038708
747.3312,0.039478
749.1949,0.040119
751.0586,0.040967
752.9222,0.042037
754.7859,0.043255
756.6496,0.044607
758.5132,0.045970
760.3769,0.047458
762.2406,0.048961
764.1043,0.050842
765.9679,0.053740
767.8316,0.057017
769.6953,0.060937
771.5589,0.065773
773.4226,0.071533
775.2863,0.077101
777.1499,0.081248
779.0136,0.082777
780.8773,0.080856
782.7409,0.077042
784.6046,0.072906
786.4683,0.069544
788.3320,0.068699
790.1956,0.070242
792.0593,0.072862
793.9230,0.075948
795.7866,0.078641
797.6503,0.078796
799.5140,0.075975
801.3776,0.070700
803.2413,0.063768
805.1050,0.056193
806.9686,0.048753
808.8323,0.042371
810.6960,0.037613
812.5596,0.034138
814.4233,0.031677
816.2870,0.029935
818.1507,0.028481
820.0143,0.027406
821.8780,0.026634
823.7417,0.025897
825.6053,0.025376
827.4690,0.025405
829.3327,0.025748
831.1963,0.025973
833.0600,0.026068
834.9237,0.026132
836.7873,0.025970
838.6510,0.025557
840.5147,0.025311
842.3784,0.024933
844.2420,0.024814
846.1057,0.024898
847.9694,0.025088
849.8330,0.025290
851.6967,0.025493
853.5604,0.025766
855.4240,0.026070
857.2877,0.026217
859.1514,0.026284
861.0150,0.026368
862.8787,0.026533
864.7424,0.026768
866.6060,0.027035
868.4697,0.027088
870.3334,0.027334
872.1971,0.027855
874.0607,0.028241
875.9244,0.028582
877.7881,0.028914
879.6517,0.029275
881.5154,0.029711
883.3791,0.030009
885.2427,0.030289
887.1064,0.030649
888.9701,0.031096
890.8337,0.031482
892.6974,0.031962
894.5611,0.032444
896.4247,0.032866
898.2884,0.033383
