Wavenumber,Intensity
600.1014,0.058987
601.9651,0.064425
603.8287,0.057634
605.6924,0.059179
607.5561,0.060861
609.4197,0.060734
611.2834,0.054940
613.1471,0.042468
615.0107,0.042856
616.8744,0.049805
618.7381,0.052420
620.6017,0.055585
622.4654,0.052798
624.3291,0.046935
626.1928,0.044464
628.0564,0.044735
629.9201,0.047240
631.7838,0.049568
633.6474,0.050387
635.5111,0.050772
637.3748,0.047444
639.2384,0.046466
641.1021,0.047499
642.9658,0.046439
644.8294,0.046332
646.6931,0.046918
648.5568,0.046774
650.4205,0.046925
652.2841,0.046191
654.1478,0.045150
656.0115,0.046051
657.8751,0.046468
659.7388,0.046768
661.6025,0.046122
663.4661,0.044752
665.3298,0.043866
667.1935,0.044585
669.0571,0.044979
670.9208,0.043041
672.7845,0.043633
674.6481,0.044708
676.5118,0.044608
678.3755,0.043630
680.2392,0.043281
682.1028,0.043116
683.9665,0.042524
685.8302,0.042140
687.6938,0.041437
689.5575,0.041520
691.4212,0.042220
693.2848,0.042494
695.1485,0.042324
697.0122,0.041670
698.8758,0.041208
700.7395,0.040687
702.6032,0.040258
704.4669,0.040088
706.3305,0.040415
708.1942,0.041116
710.0579,0.042664
711.9215,0.043181
713.7852,0.041786
715.6489,0.039990
717.5125,0.038763
719.3762,0.037755
721.2399,0.037273
723.1035,0.037271
724.9672,0.037300
726.8309,0.036775
728.6945,0.036453
730.5582,0.036364
732.4219,0.036102
734.2856,0.035423
736.1492,0.035276
738.0129,0.035708
739.8766,0.035814
741.7402,0.035505
743.6039,0.035354
745.4676,0.035293
747.3312,0.035125
749.1949,0.034957
751.0586,0.035252
752.9222,0.035278
754.7859,0.035160
756.6496,0.035019
758.5132,0.034763
760.3769,0.034651
762.2406,0.034688
764.1043,0.034330
765.9679,0.034035
767.8316,0.034071
769.6953,0.034197
771.5589,0.034107
773.4226,0.034030
775.2863,0.033941
777.1499,0.033920
779.0136,0.033784
780.8773,0.033435
782.7409,0.033060
