Wavenumber,Intensity
600.1014,0.137347
601.9651,0.131282
603.8287,0.142553
605.6924,0.139803
607.5561,0.134960
609.4197,0.133054
611.2834,0.136497
613.1471,0.147464
615.0107,0.145858
616.8744,0.130674
618.7381,0.128840
620.6017,0.130351
622.4654,0.129336
624.3291,0.131935
626.1928,0.131298
628.0564,0.130683
629.9201,0.132178
631.7838,0.130246
633.6474,0.127962
635.5111,0.125450
637.3748,0.124206
639.2384,0.126064
641.1021,0.127526
642.9658,0.126775
644.8294,0.125745
646.6931,0.125218
648.5568,0.123636
650.4205,0.120371
652.2841,0.118499
654.1478,0.120845
656.0115,0.121373
657.8751,0.120455
659.7388,0.121242
661.6025,0.119990
663.4661,0.118612
665.3298,0.119883
667.1935,0.120408
669.0571,0.116200
670.9208,0.116647
672.7845,0.117947
674.6481,0.117169
676.5118,0.115222
678.3755,0.113435
680.2392,0.112591
682.1028,0.112413
683.9665,0.112243
685.8302,0.111935
687.6938,0.111311
689.5575,0.110926
691.4212,0.111189
693.2848,0.110883
695.1485,0.110333
697.0122,0.109877
698.8758,0.108964
700.7395,0.108372
702.6032,0.108236
704.4669,0.108312
706.3305,0.108145
708.1942,0.108160
710.0579,0.108262
711.9215,0.108409
713.7852,0.106830
715.6489,0.103465
717.5125,0.101175
719.3762,0.099768
721.2399,0.098649
723.1035,0.098062
724.9672,0.097146
726.8309,0.095866
728.6945,0.095106
730.5582,0.094373
732.4219,0.093814
734.2856,0.093692
736.1492,0.093434
738.0129,0.092616
739.8766,0.092379
741.7402,0.092271
743.6039,0.091950
745.4676,0.091968
747.3312,0.092086
749.1949,0.092202
751.0586,0.092187
752.9222,0.091953
754.7859,0.091928
756.6496,0.091773
758.5132,0.091756
760.3769,0.091318
762.2406,0.090330
764.1043,0.089794
765.9679,0.089572
767.8316,0.088945
769.6953,0.088174
771.5589,0.087390
773.4226,0.086917
775.2863,0.086517
777.1499,0.085813
779.0136,0.085354
780.8773,0.084998
782.7409,0.084540
784.6046,0.083867
786.4683,0.082919
788.3320,0.082562
790.1956,0.082501
792.0593,0.082100
793.9230,0.081584
795.7866,0.081199
797.6503,0.080553
799.5140,0.080050
801.3776,0.079556
803.2413,0.078814
805.1050,0.078326
806.9686,0.078004
808.8323,0.077491
810.6960,0.076949
812.5596,0.076691
814.4233,0.076688
816.2870,0.076478
818.1507,0.076000
820.0143,0.075555
821.8780,0.075133
823.7417,0.075030
825.6053,0.075111
827.4690,0.075001
829.3327,0.075143
831.1963,0.075378
833.0600,0.075699
834.9237,0.076210
836.7873,0.076538
838.6510,0.076807
840.5147,0.077230
842.3784,0.077852
844.2420,0.078554
846.1057,0.079211
847.9694,0.079398
849.8330,0.079253
851.6967,0.079527
853.5604,0.080097
855.4240,0.080835
857.2877,0.081788
859.1514,0.082801
861.0150,0.083795
862.8787,0.085214
864.7424,0.086872
866.6060,0.088654
868.4697,0.091106
870.3334,0.093865
872.1971,0.095593
874.0607,0.095743
875.9244,0.094307
877.7881,0.091736
879.6517,0.088953
881.5154,0.086749
883.3791,0.085060
885.2427,0.083384
887.1064,0.082085
888.9701,0.081804
890.8337,0.082378
892.6974,0.083161
894.5611,0.083801
896.4247,0.084396
898.2884,0.084951
900.1521,0.085364
902.0158,0.085873
903.8794,0.086528
905.7431,0.087255
907.6068,0.088080
909.4704,0.089129
911.3341,0.090046
913.1978,0.090809
915.0614,0.091716
916.9251,0.092599
918.7888,0.093319
920.6524,0.093940
922.5161,0.094658
924.3798,0.095316
926.2435,0.095847
928.1071,0.096425
929.9708,0.097194
931.8345,0.097907
933.6981,0.098461
935.5618,0.099205
937.4255,0.100018
939.2891,0.100819
941.1528,0.101690
943.0165,0.102560
944.8801,0.103338
946.7438,0.104462
948.6075,0.105979
950.4711,0.107513
952.3348,0.109054
954.1985,0.110850
956.0622,0.112998
957.9258,0.115252
959.7895,0.117467
961.6532,0.119810
963.5168,0.122339
965.3805,0.124765
967.2442,0.127160
969.1078,0.129773
970.9715,0.132705
972.8352,0.135749
974.6988,0.138899
976.5625,0.142012
978.4262,0.145262
980.2899,0.148853
982.1535,0.152567
984.0172,0.156190
985.8809,0.159629
987.7445,0.162677
989.6082,0.165377
991.4719,0.167684
993.3355,0.169637
995.1992,0.171089
997.0629,0.172166
998.9265,0.173103
1000.7902,0.173793
1002.6539,0.174424
1004.5175,0.175313
1006.3812,0.176167
1008.2449,0.177164
1010.1086,0.178371
1011.9722,0.179456
1013.8359,0.180282
1015.6996,0.180722
1017.5632,0.180799
1019.4269,0.180366
1021.2906,0.179501
1023.1542,0.178378
1025.0179,0.176881
1026.8816,0.175047
1028.7452,0.173105
1030.6089,0.171131
1032.4726,0.169095
1034.3362,0.167073
1036.1999,0.164978
1038.0636,0.162784
1039.9273,0.160481
1041.7909,0.157956
1043.6546,0.155162
1045.5183,0.152495
1047.3819,0.149979
1049.2456,0.147492
1051.1093,0.145056
1052.9729,0.142688
1054.8366,0.140333
1056.7003,0.137944
1058.5639,0.135552
1060.4276,0.133441
1062.2913,0.131474
1064.1550,0.129722
1066.0186,0.128308
1067.8823,0.127363
1069.7460,0.126955
1071.6096,0.126775
1073.4733,0.126567
1075.3370,0.126210
1077.2006,0.125468
1079.0643,0.124067
1080.9280,0.122031
1082.7916,0.119826
1084.6553,0.117515
1086.5190,0.114996
1088.3826,0.112453
1090.2463,0.110285
1092.1100,0.108544
1093.9737,0.106998
1095.8373,0.105565
1097.7010,0.104392
1099.5647,0.103461
1101.4283,0.102523
1103.2920,0.101529
1105.1557,0.100534
1107.0193,0.099461
1108.8830,0.098383
1110.7467,0.097294
1112.6103,0.096303
1114.4740,0.095318
1116.3377,0.094269
1118.2014,0.093244
1120.0650,0.092209
1121.9287,0.091204
1123.7924,0.090221
1125.6560,0.089315
1127.5197,0.088472
1129.3834,0.087560
1131.2470,0.086790
1133.1107,0.086180
1134.9744,0.085632
1136.8380,0.085278
1138.7017,0.085183
1140.5654,0.085049
1142.4290,0.084867
1144.2927,0.084692
1146.1564,0.084423
1148.0201,0.083889
1149.8837,0.082989
1151.7474,0.081789
1153.6111,0.080452
1155.4747,0.078832
1157.3384,0.076950
1159.2021,0.074809
1161.0657,0.072434
1162.9294,0.069931
1164.7931,0.067460
1166.6567,0.065052
1168.5204,0.062762
1170.3841,0.060590
1172.2477,0.058598
1174.1114,0.056782
1175.9751,0.055021
1177.8388,0.053318
1179.7024,0.051890
1181.5661,0.050827
1183.4298,0.050149
1185.2934,0.049596
1187.1571,0.049138
1189.0208,0.048942
1190.8844,0.048986
1192.7481,0.049103
1194.6118,0.049317
1196.4754,0.049780
1198.3391,0.050204
1200.2028,0.050539
1202.0665,0.050824
1203.9301,0.051062
1205.7938,0.051303
1207.6575,0.051478
1209.5211,0.051562
1211.3848,0.051698
1213.2485,0.052005
1215.1121,0.052397
1216.9758,0.052791
1218.8395,0.053230
1220.7031,0.053685
1222.5668,0.054102
1224.4305,0.054651
1226.2941,0.055206
1228.1578,0.055549
1230.0215,0.055859
1231.8852,0.056190
1233.7488,0.056391
1235.6125,0.056430
1237.4762,0.056400
1239.3398,0.056248
1241.2035,0.056015
1243.0672,0.055745
1244.9308,0.055443
1246.7945,0.055189
1248.6582,0.054844
1250.5218,0.054413
1252.3855,0.054040
1254.2492,0.053726
1256.1129,0.053449
1257.9765,0.053189
1259.8402,0.052852
1261.7039,0.052473
1263.5675,0.052172
1265.4312,0.051855
1267.2949,0.051530
1269.1585,0.051394
1271.0222,0.051274
1272.8859,0.051046
1274.7495,0.050963
1276.6132,0.050948
1278.4769,0.050970
1280.3405,0.050884
1282.2042,0.050774
1284.0679,0.050810
1285.9316,0.050817
1287.7952,0.050851
1289.6589,0.050918
1291.5226,0.051094
1293.3862,0.051322
1295.2499,0.051517
1297.1136,0.051736
1298.9772,0.052027
1300.8409,0.052246
1302.7046,0.052425
1304.5682,0.052695
1306.4319,0.053000
1308.2956,0.053130
1310.1592,0.053388
1312.0229,0.053700
1313.8866,0.053799
1315.7503,0.054085
1317.6139,0.054347
1319.4776,0.054207
1321.3413,0.054223
1323.2049,0.054619
1325.0686,0.054917
1326.9323,0.055119
1328.7959,0.055361
1330.6596,0.055731
1332.5233,0.056216
1334.3869,0.056734
1336.2506,0.057386
1338.1143,0.057922
1339.9780,0.057515
1341.8416,0.057188
1343.7053,0.057806
1345.5690,0.058337
1347.4326,0.058671
1349.2963,0.058941
1351.1600,0.059391
1353.0236,0.060053
1354.8873,0.060461
1356.7510,0.060780
1358.6146,0.061667
1360.4783,0.063007
1362.3420,0.063398
1364.2056,0.062950
1366.0693,0.064155
1367.9330,0.065530
1369.7967,0.065947
1371.6603,0.067000
1373.5240,0.067490
1375.3877,0.066700
1377.2513,0.067192
1379.1150,0.067788
1380.9787,0.068060
1382.8423,0.068613
1384.7060,0.069939
1386.5697,0.070550
1388.4333,0.069102
1390.2970,0.069232
1392.1607,0.071290
1394.0244,0.072163
1395.8880,0.071107
1397.7517,0.071450
1399.6154,0.070822
1401.4790,0.071014
1403.3427,0.072805
1405.2064,0.072628
1407.0700,0.072121
1408.9337,0.072737
1410.7974,0.072770
1412.6610,0.072248
1414.5247,0.072327
1416.3884,0.073583
1418.2520,0.073243
1420.1157,0.068705
1421.9794,0.068306
1423.8431,0.068703
1425.7067,0.067276
1427.5704,0.067537
1429.4341,0.067329
1431.2977,0.065739
1433.1614,0.066076
1435.0251,0.068159
1436.8887,0.065624
1438.7524,0.062743
1440.6161,0.064084
1442.4797,0.064527
1444.3434,0.064562
1446.2071,0.065126
1448.0707,0.063990
1449.9344,0.062659
1451.7981,0.062805
1453.6618,0.064087
1455.5254,0.066340
1457.3891,0.061346
1459.2528,0.055535
1461.1164,0.056410
1462.9801,0.058176
1464.8438,0.056612
1466.7074,0.053772
1468.5711,0.053821
1470.4348,0.055121
1472.2984,0.053384
1474.1621,0.049099
1476.0258,0.047556
1477.8895,0.046764
1479.7531,0.047040
1481.6168,0.046912
1483.4805,0.046765
1485.3441,0.047890
1487.2078,0.048975
1489.0715,0.048848
1490.9351,0.047087
1492.7988,0.048068
1494.6625,0.051195
1496.5261,0.051892
1498.3898,0.050623
1500.2535,0.050836
1502.1171,0.053009
1503.9808,0.057908
1505.8445,0.061103
1507.7082,0.054455
1509.5718,0.053720
1511.4355,0.056724
1513.2992,0.059010
1515.1628,0.061684
1517.0265,0.061525
1518.8902,0.062594
1520.7538,0.063491
1522.6175,0.059780
1524.4812,0.060612
1526.3448,0.061362
1528.2085,0.060603
1530.0722,0.062400
1531.9359,0.065031
1533.7995,0.062605
1535.6632,0.062142
1537.5269,0.067485
1539.3905,0.067825
1541.2542,0.059655
1543.1179,0.058405
1544.9815,0.057766
1546.8452,0.058016
1548.7089,0.059298
1550.5725,0.057836
1552.4362,0.057507
1554.2999,0.057228
1556.1635,0.058615
1558.0272,0.060068
1559.8909,0.047258
1561.7546,0.045810
1563.6182,0.049349
1565.4819,0.049676
1567.3456,0.050403
1569.2092,0.049456
1571.0729,0.046316
1572.9366,0.048151
1574.8002,0.050461
1576.6639,0.046881
1578.5276,0.044910
1580.3912,0.046551
1582.2549,0.047055
1584.1186,0.047145
1585.9822,0.047326
1587.8459,0.047567
1589.7096,0.047944
1591.5733,0.048549
1593.4369,0.049129
1595.3006,0.049458
1597.1643,0.049942
1599.0279,0.050926
1600.8916,0.051828
1602.7553,0.052533
1604.6189,0.053374
1606.4826,0.054582
1608.3463,0.055532
1610.2099,0.056382
1612.0736,0.057956
1613.9373,0.061787
1615.8010,0.064155
1617.6646,0.061197
1619.5283,0.063151
1621.3920,0.068228
1623.2556,0.068827
1625.1193,0.068623
1626.9830,0.070933
1628.8466,0.071496
1630.7103,0.072958
1632.5740,0.077732
1634.4376,0.080686
1636.3013,0.073772
1638.1650,0.071092
1640.0286,0.073600
1641.8923,0.075247
1643.7560,0.078314
1645.6197,0.078991
1647.4833,0.071411
1649.3470,0.071881
1651.2107,0.079864
1653.0743,0.074141
1654.9380,0.060438
1656.8017,0.064047
1658.6653,0.066640
1660.5290,0.066815
1662.3927,0.063586
1664.2563,0.059116
1666.1200,0.059643
1667.9837,0.060215
1669.8474,0.055156
1671.7110,0.051541
1673.5747,0.052099
1675.4384,0.048738
1677.3020,0.045109
1679.1657,0.045237
1681.0294,0.045484
1682.8930,0.045424
1684.7567,0.038388
1686.6204,0.034385
1688.4840,0.035008
1690.3477,0.033353
1692.2114,0.032283
1694.0750,0.032628
1695.9387,0.029840
1697.8024,0.027737
1699.6661,0.027060
1701.5297,0.022078
1703.3934,0.021905
1705.2571,0.022011
1707.1207,0.020347
1708.9844,0.020027
1710.8481,0.020099
1712.7117,0.020327
1714.5754,0.020643
1716.4391,0.019988
1718.3027,0.017380
1720.1664,0.016337
1722.0301,0.017023
1723.8937,0.016906
1725.7574,0.016456
1727.6211,0.016293
1729.4848,0.016155
1731.3484,0.016450
1733.2121,0.016397
1735.0758,0.013716
1736.9394,0.013249
1738.8031,0.013782
1740.6668,0.012833
1742.5304,0.012356
1744.3941,0.011976
1746.2578,0.011699
1748.1214,0.011458
1749.9851,0.010469
1751.8488,0.009182
1753.7125,0.008713
1755.5761,0.008842
1757.4398,0.008358
1759.3035,0.008079
1761.1671,0.007948
1763.0308,0.007329
1764.8945,0.007312
1766.7581,0.007598
1768.6218,0.007693
1770.4855,0.007955
1772.3491,0.007654
1774.2128,0.006795
1776.0765,0.006813
1777.9401,0.006999
1779.8038,0.007234
1781.6675,0.007194
1783.5312,0.007030
1785.3948,0.006765
1787.2585,0.006866
1789.1222,0.007481
1790.9858,0.008005
1792.8495,0.007574
1794.7132,0.007113
1796.5768,0.007274
1798.4405,0.007519
1800.3042,0.007502
1802.1678,0.007079
1804.0315,0.006707
1805.8952,0.006604
1807.7589,0.006700
1809.6225,0.006685
1811.4862,0.006506
1813.3499,0.006458
1815.2135,0.006545
1817.0772,0.006552
1818.9409,0.006505
1820.8045,0.006585
1822.6682,0.006694
1824.5319,0.006588
1826.3955,0.006377
1828.2592,0.006563
1830.1229,0.006509
1831.9865,0.006164
1833.8502,0.006399
1835.7139,0.006646
1837.5776,0.006686
1839.4412,0.006627
1841.3049,0.006777
1843.1686,0.007079
1845.0322,0.006762
1846.8959,0.006412
1848.7596,0.006436
1850.6232,0.006513
1852.4869,0.006673
1854.3506,0.006703
1856.2142,0.006702
1858.0779,0.006738
1859.9416,0.007012
1861.8052,0.006930
1863.6689,0.006681
1865.5326,0.006906
1867.3963,0.007248
1869.2599,0.007062
1871.1236,0.006695
1872.9873,0.006454
1874.8509,0.006263
1876.7146,0.006442
1878.5783,0.006876
1880.4419,0.006910
1882.3056,0.006722
1884.1693,0.006790
1886.0329,0.007126
1887.8966,0.007402
1889.7603,0.007241
1891.6240,0.006903
1893.4876,0.007002
1895.3513,0.007092
1897.2150,0.007045
1899.0786,0.006953
1900.9423,0.006904
1902.8060,0.007152
1904.6696,0.007518
1906.5333,0.007266
1908.3970,0.006964
1910.2606,0.007007
1912.1243,0.006996
1913.9880,0.007186
1915.8516,0.007534
1917.7153,0.007557
1919.5790,0.007531
1921.4427,0.007299
1923.3063,0.006792
1925.1700,0.006641
1927.0337,0.006942
1928.8973,0.007201
1930.7610,0.007371
1932.6247,0.007609
1934.4883,0.007589
1936.3520,0.007467
1938.2157,0.007624
1940.0793,0.007596
1941.9430,0.007435
1943.8067,0.007130
1945.6704,0.007119
1947.5340,0.007171
1949.3977,0.007378
1951.2614,0.007805
1953.1250,0.008399
1954.9887,0.008618
1956.8524,0.007818
1958.7160,0.007258
1960.5797,0.007900
1962.4434,0.008221
1964.3070,0.008283
1966.1707,0.008229
1968.0344,0.007884
1969.8980,0.007225
1971.7617,0.006648
1973.6254,0.007339
1975.4891,0.008312
1977.3527,0.008318
1979.2164,0.007823
1981.0801,0.007397
1982.9437,0.007870
1984.8074,0.008445
1986.6711,0.008396
1988.5347,0.008142
1990.3984,0.008376
1992.2621,0.008650
1994.1257,0.008341
1995.9894,0.007626
1997.8531,0.006828
1999.7167,0.007077
2001.5804,0.008168
2003.4441,0.008632
2005.3078,0.008423
2007.1714,0.008572
2009.0351,0.008996
2010.8988,0.008217
2012.7624,0.007438
2014.6261,0.007337
2016.4898,0.007742
2018.3534,0.007818
2020.2171,0.007292
2022.0808,0.007772
2023.9444,0.008525
2025.8081,0.008771
2027.6718,0.008939
2029.5355,0.008525
2031.3991,0.008185
2033.2628,0.008483
2035.1265,0.008510
2036.9901,0.008016
2038.8538,0.008559
2040.7175,0.009576
