Wavenumber,Intensity
600.1014,0.199961
601.9651,0.195334
603.8287,0.188983
605.6924,0.193109
607.5561,0.185535
609.4197,0.177535
611.2834,0.170975
613.1471,0.174343
615.0107,0.184108
616.8744,0.180375
618.7381,0.169899
620.6017,0.180024
622.4654,0.189427
624.3291,0.187147
626.1928,0.180774
628.0564,0.179581
629.9201,0.180238
631.7838,0.179495
633.6474,0.179161
635.5111,0.180462
637.3748,0.181323
639.2384,0.183684
641.1021,0.185537
642.9658,0.185753
644.8294,0.187603
646.6931,0.187729
648.5568,0.186892
650.4205,0.184338
652.2841,0.181235
654.1478,0.180145
656.0115,0.178638
657.8751,0.177458
659.7388,0.175255
661.6025,0.177119
663.4661,0.179366
665.3298,0.180100
667.1935,0.179324
669.0571,0.176939
670.9208,0.176906
672.7845,0.176053
674.6481,0.174958
676.5118,0.174035
678.3755,0.172356
680.2392,0.170497
682.1028,0.168964
683.9665,0.166410
685.8302,0.162832
687.6938,0.159371
689.5575,0.155653
691.4212,0.152046
693.2848,0.149916
695.1485,0.148544
697.0122,0.147457
698.8758,0.145724
700.7395,0.144403
702.6032,0.143720
704.4669,0.144330
706.3305,0.146020
708.1942,0.147662
710.0579,0.150338
711.9215,0.152664
713.7852,0.153291
715.6489,0.153572
717.5125,0.154841
719.3762,0.156606
721.2399,0.157947
723.1035,0.158429
724.9672,0.157940
726.8309,0.157688
728.6945,0.157463
730.5582,0.156327
732.4219,0.155317
734.2856,0.154668
736.1492,0.153968
738.0129,0.153784
739.8766,0.153412
741.7402,0.152910
743.6039,0.153014
745.4676,0.152509
747.3312,0.151755
749.1949,0.151419
751.0586,0.151330
752.9222,0.150689
754.7859,0.150614
756.6496,0.151046
758.5132,0.151286
760.3769,0.150764
762.2406,0.149665
764.1043,0.148134
765.9679,0.146715
767.8316,0.145468
769.6953,0.144349
771.5589,0.143140
773.4226,0.142211
775.2863,0.141518
777.1499,0.140889
779.0136,0.139792
780.8773,0.138960
782.7409,0.139249
784.6046,0.139611
786.4683,0.140467
788.3320,0.140897
790.1956,0.140430
792.0593,0.139914
793.9230,0.140056
795.7866,0.140073
797.6503,0.140262
799.5140,0.140922
801.3776,0.141693
803.2413,0.142466
805.1050,0.143559
806.9686,0.145017
808.8323,0.146045
810.6960,0.147172
812.5596,0.148647
814.4233,0.150062
816.2870,0.151225
818.1507,0.151938
820.0143,0.151989
821.8780,0.152021
823.7417,0.152112
825.6053,0.152240
827.4690,0.152466
829.3327,0.153144
831.1963,0.154467
833.0600,0.156756
834.9237,0.159726
836.7873,0.162767
838.6510,0.165709
840.5147,0.169279
842.3784,0.173126
844.2420,0.177325
846.1057,0.181861
847.9694,0.186418
849.8330,0.190869
851.6967,0.195283
853.5604,0.199876
855.4240,0.204982
857.2877,0.210022
859.1514,0.214928
861.0150,0.219605
862.8787,0.224520
864.7424,0.229520
866.6060,0.234384
868.4697,0.239567
870.3334,0.244590
872.1971,0.248858
874.0607,0.252134
875.9244,0.254560
877.7881,0.256799
879.6517,0.259108
881.5154,0.261747
883.3791,0.264580
885.2427,0.267923
887.1064,0.271628
888.9701,0.276030
890.8337,0.281038
892.6974,0.286390
894.5611,0.291984
896.4247,0.297819
898.2884,0.303398
900.1521,0.309131
902.0158,0.314787
903.8794,0.320400
905.7431,0.325569
907.6068,0.330370
909.4704,0.334838
911.3341,0.339263
913.1978,0.343398
915.0614,0.347268
916.9251,0.350750
918.7888,0.354231
920.6524,0.357638
922.5161,0.361038
924.3798,0.364531
926.2435,0.368342
928.1071,0.372113
929.9708,0.375852
931.8345,0.379709
933.6981,0.384042
935.5618,0.388282
937.4255,0.392301
939.2891,0.396298
941.1528,0.400326
943.0165,0.403791
944.8801,0.406878
946.7438,0.409150
948.6075,0.410379
950.4711,0.410433
952.3348,0.409915
954.1985,0.408444
956.0622,0.406352
957.9258,0.403484
959.7895,0.399996
961.6532,0.396461
963.5168,0.393301
965.3805,0.390067
967.2442,0.386907
969.1078,0.384069
970.9715,0.381928
972.8352,0.380298
974.6988,0.379163
976.5625,0.377967
978.4262,0.376661
980.2899,0.374984
982.1535,0.373233
984.0172,0.370942
985.8809,0.368121
987.7445,0.364386
989.6082,0.359981
991.4719,0.354838
993.3355,0.349073
995.1992,0.342725
997.0629,0.336007
998.9265,0.328910
1000.7902,0.321568
1002.6539,0.313925
1004.5175,0.306296
1006.3812,0.298613
1008.2449,0.291013
1010.1086,0.283229
1011.9722,0.275195
1013.8359,0.267138
1015.6996,0.259216
1017.5632,0.251377
1019.4269,0.243785
1021.2906,0.236392
1023.1542,0.229494
1025.0179,0.222883
1026.8816,0.216620
1028.7452,0.210507
1030.6089,0.204632
1032.4726,0.198830
1034.3362,0.193249
1036.1999,0.187922
1038.0636,0.182850
1039.9273,0.177982
1041.7909,0.173437
1043.6546,0.169130
1045.5183,0.165122
1047.3819,0.161335
1049.2456,0.157885
1051.1093,0.154892
1052.9729,0.152012
1054.8366,0.148992
1056.7003,0.146155
1058.5639,0.143554
1060.4276,0.140972
1062.2913,0.138410
1064.1550,0.136007
1066.0186,0.133605
1067.8823,0.131220
1069.7460,0.128900
1071.6096,0.126612
1073.4733,0.124144
1075.3370,0.121573
1077.2006,0.118993
1079.0643,0.116476
1080.9280,0.113979
1082.7916,0.111383
1084.6553,0.108821
1086.5190,0.106350
1088.3826,0.103831
1090.2463,0.101343
1092.1100,0.098848
1093.9737,0.096331
1095.8373,0.093755
1097.7010,0.091217
1099.5647,0.088741
1101.4283,0.086203
1103.2920,0.083627
1105.1557,0.081231
1107.0193,0.078975
1108.8830,0.076661
1110.7467,0.074350
1112.6103,0.072168
1114.4740,0.069982
1116.3377,0.067863
1118.2014,0.065881
1120.0650,0.063985
1121.9287,0.062153
1123.7924,0.060444
1125.6560,0.058887
1127.5197,0.057415
1129.3834,0.055921
1131.2470,0.054672
1133.1107,0.053689
1134.9744,0.052695
1136.8380,0.051706
1138.7017,0.050820
1140.5654,0.050019
1142.4290,0.049262
1144.2927,0.048530
1146.1564,0.047765
1148.0201,0.046912
1149.8837,0.046151
1151.7474,0.045416
1153.6111,0.044647
1155.4747,0.043891
1157.3384,0.043053
1159.2021,0.042108
1161.0657,0.041176
1162.9294,0.040213
1164.7931,0.039217
1166.6567,0.038093
1168.5204,0.036920
1170.3841,0.035822
1172.2477,0.034720
1174.1114,0.033660
1175.9751,0.032598
1177.8388,0.031551
1179.7024,0.030439
1181.5661,0.029274
1183.4298,0.028214
1185.2934,0.027176
1187.1571,0.026061
1189.0208,0.024954
1190.8844,0.023871
1192.7481,0.022855
1194.6118,0.021902
1196.4754,0.021004
1198.3391,0.020074
1200.2028,0.019144
1202.0665,0.018382
1203.9301,0.017692
1205.7938,0.016973
1207.6575,0.016279
1209.5211,0.015677
1211.3848,0.015153
1213.2485,0.014710
1215.1121,0.014215
1216.9758,0.013703
1218.8395,0.013324
1220.7031,0.012996
1222.5668,0.012673
1224.4305,0.012410
1226.2941,0.012124
1228.1578,0.011843
1230.0215,0.011618
1231.8852,0.011552
1233.7488,0.011385
1235.6125,0.011197
1237.4762,0.011041
1239.3398,0.010855
1241.2035,0.010829
1243.0672,0.010815
1244.9308,0.010672
1246.7945,0.010515
1248.6582,0.010407
1250.5218,0.010362
1252.3855,0.010342
1254.2492,0.010338
1256.1129,0.010296
1257.9765,0.010243
1259.8402,0.010210
1261.7039,0.010115
1263.5675,0.010068
1265.4312,0.010033
1267.2949,0.009951
1269.1585,0.009949
1271.0222,0.010095
1272.8859,0.010185
1274.7495,0.010142
1276.6132,0.010027
1278.4769,0.009969
1280.3405,0.010066
1282.2042,0.010191
1284.0679,0.010269
1285.9316,0.010249
1287.7952,0.010113
1289.6589,0.010081
1291.5226,0.010226
1293.3862,0.010370
1295.2499,0.010418
1297.1136,0.010424
1298.9772,0.010436
1300.8409,0.010512
1302.7046,0.010599
1304.5682,0.010707
1306.4319,0.010762
1308.2956,0.010774
1310.1592,0.010865
1312.0229,0.011072
1313.8866,0.011198
1315.7503,0.011301
1317.6139,0.011375
1319.4776,0.011318
1321.3413,0.011347
1323.2049,0.011491
1325.0686,0.011587
1326.9323,0.011705
1328.7959,0.011844
1330.6596,0.011979
1332.5233,0.012063
1334.3869,0.012242
1336.2506,0.012537
1338.1143,0.012689
1339.9780,0.012605
1341.8416,0.012494
1343.7053,0.012684
1345.5690,0.012943
1347.4326,0.013154
1349.2963,0.013299
1351.1600,0.013408
1353.0236,0.013658
1354.8873,0.013913
1356.7510,0.014085
1358.6146,0.014299
1360.4783,0.014652
1362.3420,0.014817
1364.2056,0.014539
1366.0693,0.014698
1367.9330,0.015075
1369.7967,0.015249
1371.6603,0.015664
1373.5240,0.016049
1375.3877,0.015871
1377.2513,0.015978
1379.1150,0.016266
1380.9787,0.016421
1382.8423,0.016646
1384.7060,0.017131
1386.5697,0.017587
1388.4333,0.017330
1390.2970,0.017419
1392.1607,0.018214
1394.0244,0.018728
1395.8880,0.018426
1397.7517,0.018524
1399.6154,0.018324
1401.4790,0.018296
1403.3427,0.018970
1405.2064,0.019063
1407.0700,0.018899
1408.9337,0.019225
1410.7974,0.019484
1412.6610,0.019519
1414.5247,0.019794
1416.3884,0.020367
1418.2520,0.020515
1420.1157,0.019218
1421.9794,0.019130
1423.8431,0.019411
1425.7067,0.019044
1427.5704,0.019462
1429.4341,0.019752
1431.2977,0.019278
1433.1614,0.019367
1435.0251,0.020153
1436.8887,0.019331
1438.7524,0.018025
1440.6161,0.018474
1442.4797,0.018693
1444.3434,0.018713
1446.2071,0.018893
1448.0707,0.018590
1449.9344,0.018203
1451.7981,0.018468
1453.6618,0.019054
1455.5254,0.019880
1457.3891,0.018410
1459.2528,0.016407
1461.1164,0.016937
1462.9801,0.017846
1464.8438,0.017492
1466.7074,0.016623
1468.5711,0.016966
1470.4348,0.017844
1472.2984,0.017750
1474.1621,0.016247
1476.0258,0.015845
1477.8895,0.015742
1479.7531,0.015923
1481.6168,0.015956
1483.4805,0.015746
1485.3441,0.015970
1487.2078,0.016279
1489.0715,0.016016
1490.9351,0.014815
1492.7988,0.014474
1494.6625,0.015276
1496.5261,0.015254
1498.3898,0.014244
1500.2535,0.013907
1502.1171,0.014060
1503.9808,0.014997
1505.8445,0.016044
1507.7082,0.013850
1509.5718,0.012545
1511.4355,0.012957
1513.2992,0.013265
1515.1628,0.013750
1517.0265,0.013512
1518.8902,0.013172
1520.7538,0.013571
1522.6175,0.012395
1524.4812,0.011974
1526.3448,0.012157
1528.2085,0.011935
1530.0722,0.012056
1531.9359,0.012559
1533.7995,0.012258
1535.6632,0.011670
1537.5269,0.012650
1539.3905,0.013311
1541.2542,0.011537
1543.1179,0.010817
1544.9815,0.010732
1546.8452,0.010642
1548.7089,0.011100
1550.5725,0.011093
1552.4362,0.011139
1554.2999,0.011502
1556.1635,0.011858
1558.0272,0.012962
1559.8909,0.010801
1561.7546,0.009559
1563.6182,0.010335
1565.4819,0.010632
1567.3456,0.010996
1569.2092,0.011398
1571.0729,0.010834
1572.9366,0.011071
1574.8002,0.011970
1576.6639,0.011579
1578.5276,0.010753
1580.3912,0.011203
1582.2549,0.011620
1584.1186,0.011745
1585.9822,0.011783
1587.8459,0.012041
1589.7096,0.012265
1591.5733,0.012400
1593.4369,0.012647
1595.3006,0.012866
1597.1643,0.013011
1599.0279,0.013162
1600.8916,0.013434
1602.7553,0.013832
1604.6189,0.014114
1606.4826,0.014457
1608.3463,0.014914
1610.2099,0.015216
1612.0736,0.015521
1613.9373,0.016248
1615.8010,0.017270
1617.6646,0.016898
1619.5283,0.016674
1621.3920,0.017676
1623.2556,0.018056
1625.1193,0.017901
1626.9830,0.018524
1628.8466,0.018941
1630.7103,0.019083
1632.5740,0.019931
1634.4376,0.021158
1636.3013,0.020297
1638.1650,0.019287
1640.0286,0.019748
1641.8923,0.020126
1643.7560,0.020686
1645.6197,0.021067
1647.4833,0.019842
1649.3470,0.019711
1651.2107,0.021674
1653.0743,0.021588
1654.9380,0.017826
1656.8017,0.018078
1658.6653,0.018828
1660.5290,0.019127
1662.3927,0.018801
1664.2563,0.017789
1666.1200,0.017859
1667.9837,0.018528
1669.8474,0.017859
1671.7110,0.016816
1673.5747,0.017196
1675.4384,0.016882
1677.3020,0.015809
1679.1657,0.015926
1681.0294,0.016256
1682.8930,0.016881
1684.7567,0.015549
1686.6204,0.013800
1688.4840,0.014006
1690.3477,0.013858
1692.2114,0.013709
1694.0750,0.014133
1695.9387,0.013889
1697.8024,0.013332
1699.6661,0.013765
1701.5297,0.011730
1703.3934,0.011211
1705.2571,0.011732
1707.1207,0.011296
1708.9844,0.011030
1710.8481,0.011116
1712.7117,0.011430
1714.5754,0.011879
1716.4391,0.011773
1718.3027,0.010383
1720.1664,0.009452
1722.0301,0.009884
1723.8937,0.010020
1725.7574,0.009895
1727.6211,0.010099
1729.4848,0.010377
1731.3484,0.010681
