Wavenumber,Intensity
600.1014,0.261864
601.9651,0.254346
603.8287,0.242604
605.6924,0.250630
607.5561,0.253373
609.4197,0.243797
611.2834,0.236601
613.1471,0.241310
615.0107,0.240655
616.8744,0.236138
618.7381,0.236184
620.6017,0.241825
622.4654,0.250025
624.3291,0.251233
626.1928,0.250033
628.0564,0.249296
629.9201,0.252918
631.7838,0.250074
633.6474,0.248816
635.5111,0.251739
637.3748,0.254561
639.2384,0.255610
641.1021,0.255920
642.9658,0.256316
644.8294,0.253486
646.6931,0.253364
648.5568,0.255210
650.4205,0.256820
652.2841,0.254580
654.1478,0.251262
656.0115,0.250629
657.8751,0.250479
659.7388,0.250463
661.6025,0.249796
663.4661,0.248448
665.3298,0.248384
667.1935,0.247959
669.0571,0.243945
670.9208,0.244381
672.7845,0.245078
674.6481,0.244402
676.5118,0.242040
678.3755,0.237504
680.2392,0.234643
682.1028,0.232223
683.9665,0.227995
685.8302,0.222919
687.6938,0.218999
689.5575,0.214472
691.4212,0.210149
693.2848,0.207079
695.1485,0.204428
697.0122,0.201408
698.8758,0.199047
700.7395,0.198348
702.6032,0.198918
704.4669,0.199594
706.3305,0.200755
708.1942,0.202532
710.0579,0.204748
711.9215,0.207258
713.7852,0.210120
715.6489,0.212647
717.5125,0.215052
719.3762,0.217386
721.2399,0.219487
723.1035,0.220702
724.9672,0.220952
726.8309,0.219792
728.6945,0.217979
730.5582,0.216774
732.4219,0.215885
734.2856,0.214488
736.1492,0.213337
738.0129,0.212773
739.8766,0.212230
741.7402,0.210815
743.6039,0.209381
745.4676,0.207964
747.3312,0.206946
749.1949,0.205642
751.0586,0.204781
752.9222,0.204993
754.7859,0.205916
756.6496,0.206747
758.5132,0.206542
760.3769,0.205948
762.2406,0.204909
764.1043,0.202938
765.9679,0.200852
767.8316,0.198838
769.6953,0.197032
771.5589,0.195474
773.4226,0.193944
775.2863,0.192122
777.1499,0.190932
779.0136,0.190239
780.8773,0.189414
782.7409,0.189453
784.6046,0.189781
786.4683,0.190543
788.3320,0.191539
790.1956,0.191309
792.0593,0.190858
793.9230,0.190580
795.7866,0.190792
797.6503,0.191238
799.5140,0.192222
801.3776,0.193962
803.2413,0.195247
805.1050,0.196401
806.9686,0.198199
808.8323,0.200081
810.6960,0.201831
812.5596,0.203554
814.4233,0.205270
816.2870,0.206395
818.1507,0.206949
820.0143,0.207039
821.8780,0.206576
823.7417,0.205932
825.6053,0.205731
827.4690,0.206113
829.3327,0.206893
831.1963,0.208505
833.0600,0.211482
834.9237,0.215242
836.7873,0.219475
838.6510,0.224167
840.5147,0.229408
842.3784,0.234676
844.2420,0.240655
846.1057,0.247065
847.9694,0.253626
849.8330,0.260604
851.6967,0.267758
853.5604,0.274789
855.4240,0.282038
857.2877,0.289108
859.1514,0.295785
861.0150,0.302240
862.8787,0.308754
864.7424,0.314791
866.6060,0.320330
868.4697,0.325349
870.3334,0.330480
872.1971,0.335608
874.0607,0.340372
875.9244,0.344977
877.7881,0.350291
879.6517,0.356400
881.5154,0.362740
883.3791,0.369350
885.2427,0.376601
887.1064,0.384097
888.9701,0.392008
890.8337,0.400129
892.6974,0.408586
894.5611,0.417091
896.4247,0.425929
898.2884,0.434952
900.1521,0.443755
902.0158,0.451980
903.8794,0.460123
905.7431,0.468068
907.6068,0.475433
909.4704,0.482229
911.3341,0.488704
913.1978,0.494293
915.0614,0.499914
916.9251,0.505149
918.7888,0.510286
920.6524,0.515698
922.5161,0.521478
924.3798,0.526694
926.2435,0.532021
928.1071,0.537248
929.9708,0.542352
931.8345,0.547611
933.6981,0.553503
935.5618,0.559045
937.4255,0.564153
939.2891,0.568682
941.1528,0.573199
943.0165,0.576900
944.8801,0.579292
946.7438,0.579708
948.6075,0.579094
950.4711,0.577002
952.3348,0.573535
954.1985,0.568559
956.0622,0.562757
957.9258,0.556352
959.7895,0.550077
961.6532,0.543614
963.5168,0.537315
965.3805,0.531336
967.2442,0.526350
969.1078,0.521973
970.9715,0.518133
972.8352,0.514846
974.6988,0.512237
976.5625,0.509488
978.4262,0.506667
980.2899,0.503361
982.1535,0.499358
984.0172,0.494374
985.8809,0.488436
987.7445,0.481240
989.6082,0.473021
991.4719,0.463633
993.3355,0.453650
995.1992,0.442945
997.0629,0.431345
998.9265,0.419508
1000.7902,0.407643
1002.6539,0.395398
1004.5175,0.383231
1006.3812,0.371183
1008.2449,0.359395
1010.1086,0.347517
1011.9722,0.335693
1013.8359,0.324110
1015.6996,0.312792
1017.5632,0.301623
1019.4269,0.291094
1021.2906,0.281201
1023.1542,0.271905
1025.0179,0.263108
1026.8816,0.254822
1028.7452,0.246901
1030.6089,0.239413
1032.4726,0.232190
1034.3362,0.225454
1036.1999,0.219086
1038.0636,0.212976
1039.9273,0.207327
1041.7909,0.202236
1043.6546,0.197589
1045.5183,0.193279
1047.3819,0.189312
1049.2456,0.185690
1051.1093,0.182346
1052.9729,0.179226
1054.8366,0.176171
1056.7003,0.173156
1058.5639,0.170192
1060.4276,0.167425
1062.2913,0.164665
1064.1550,0.162026
1066.0186,0.159388
1067.8823,0.156764
1069.7460,0.154061
1071.6096,0.151146
1073.4733,0.148184
1075.3370,0.145399
1077.2006,0.142608
1079.0643,0.139589
1080.9280,0.136433
1082.7916,0.133539
1084.6553,0.130621
1086.5190,0.127498
1088.3826,0.124451
1090.2463,0.121574
1092.1100,0.118613
1093.9737,0.115544
1095.8373,0.112423
1097.7010,0.109381
1099.5647,0.106400
1101.4283,0.103282
1103.2920,0.100198
1105.1557,0.097358
1107.0193,0.094628
1108.8830,0.091782
1110.7467,0.088945
1112.6103,0.086344
1114.4740,0.083773
1116.3377,0.081208
1118.2014,0.078796
1120.0650,0.076618
1121.9287,0.074582
1123.7924,0.072552
1125.6560,0.070693
1127.5197,0.069032
1129.3834,0.067572
1131.2470,0.066263
1133.1107,0.064961
1134.9744,0.063804
1136.8380,0.062775
1138.7017,0.061746
1140.5654,0.060788
1142.4290,0.059874
1144.2927,0.058995
1146.1564,0.058112
1148.0201,0.057247
1149.8837,0.056451
1151.7474,0.055582
1153.6111,0.054613
1155.4747,0.053672
1157.3384,0.052725
1159.2021,0.051670
1161.0657,0.050612
1162.9294,0.049484
1164.7931,0.048239
1166.6567,0.046855
1168.5204,0.045489
1170.3841,0.044241
1172.2477,0.042911
1174.1114,0.041584
