Wavenumber,Intensity
600.1014,0.014136
601.9651,0.006820
603.8287,0.000583
605.6924,-0.003629
607.5561,-0.005779
609.4197,-0.005586
611.2834,-0.006660
613.1471,-0.002041
615.0107,0.002112
616.8744,-0.000252
618.7381,-0.000654
620.6017,-0.001609
622.4654,-0.002201
624.3291,-0.001027
626.1928,-0.000523
628.0564,-0.001380
629.9201,0.000628
631.7838,0.001159
633.6474,-0.000564
635.5111,-0.000996
637.3748,-0.000330
639.2384,-0.001184
641.1021,-0.002400
642.9658,-0.002615
644.8294,-0.002190
646.6931,-0.000682
648.5568,0.000759
650.4205,0.000804
652.2841,0.001535
654.1478,0.002592
656.0115,0.001967
657.8751,0.000581
659.7388,0.000081
661.6025,0.000137
663.4661,-0.000450
665.3298,-0.000952
667.1935,-0.000477
669.0571,0.000449
670.9208,0.000531
672.7845,-0.000045
674.6481,0.000013
676.5118,0.001388
678.3755,0.002029
680.2392,0.000542
682.1028,-0.000358
683.9665,0.001007
685.8302,0.001966
687.6938,0.001698
689.5575,0.001819
691.4212,0.001744
693.2848,0.001137
695.1485,0.000354
697.0122,0.000350
698.8758,0.000745
700.7395,0.000295
702.6032,-0.000018
704.4669,0.000654
706.3305,0.000922
708.1942,0.000534
710.0579,-0.000176
711.9215,-0.000292
713.7852,0.000353
715.6489,0.000677
717.5125,0.000574
719.3762,0.000402
721.2399,-0.000053
723.1035,-0.000127
724.9672,0.000129
726.8309,0.000772
728.6945,0.001088
730.5582,0.000830
732.4219,0.000265
734.2856,0.000365
736.1492,0.000690
738.0129,0.000420
739.8766,0.000350
741.7402,0.000421
743.6039,0.000408
745.4676,0.000250
747.3312,0.000197
749.1949,0.000572
751.0586,0.000674
752.9222,0.000462
754.7859,0.000363
756.6496,0.000167
758.5132,0.000112
760.3769,0.000378
762.2406,0.000712
764.1043,0.000789
765.9679,0.000750
767.8316,0.000642
769.6953,0.000463
771.5589,0.000441
773.4226,0.000475
775.2863,0.000540
777.1499,0.000650
779.0136,0.000677
780.8773,0.000590
782.7409,0.000336
784.6046,0.000195
786.4683,0.000147
788.3320,0.000319
790.1956,0.000593
792.0593,0.000670
793.9230,0.000559
795.7866,0.000430
797.6503,0.000492
799.5140,0.000579
801.3776,0.000251
803.2413,0.000072
805.1050,0.000168
806.9686,0.000195
808.8323,0.000127
810.6960,-0.000194
812.5596,-0.000309
814.4233,-0.000033
816.2870,0.000184
818.1507,0.000092
820.0143,0.000116
821.8780,0.000285
823.7417,0.000409
825.6053,0.000314
827.4690,0.000176
829.3327,0.000216
831.1963,0.000320
833.0600,0.000167
834.9237,-0.000004
836.7873,0.000089
838.6510,0.000219
840.5147,0.000236
842.3784,0.000065
844.2420,-0.000134
846.1057,0.000020
847.9694,0.000298
849.8330,0.000281
851.6967,0.000143
853.5604,0.000181
855.4240,0.000221
857.2877,0.000286
859.1514,0.000351
861.0150,0.000478
862.8787,0.000537
864.7424,0.000302
866.6060,0.000106
868.4697,0.000164
870.3334,0.000353
872.1971,0.000410
874.0607,0.000395
875.9244,0.000395
877.7881,0.000418
879.6517,0.000511
881.5154,0.000436
883.3791,0.000351
885.2427,0.000398
887.1064,0.000387
888.9701,0.000346
890.8337,0.000415
892.6974,0.000509
894.5611,0.000426
896.4247,0.000408
898.2884,0.000449
900.1521,0.000367
902.0158,0.000288
903.8794,0.000283
905.7431,0.000343
907.6068,0.000419
909.4704,0.000432
911.3341,0.000390
913.1978,0.000474
915.0614,0.000506
916.9251,0.000404
918.7888,0.000299
920.6524,0.000295
922.5161,0.000354
924.3798,0.000372
926.2435,0.000352
928.1071,0.000336
929.9708,0.000398
931.8345,0.000456
933.6981,0.000486
935.5618,0.000517
937.4255,0.000468
939.2891,0.000445
941.1528,0.000348
943.0165,0.000339
944.8801,0.000398
946.7438,0.000405
948.6075,0.000331
950.4711,0.000287
952.3348,0.000381
954.1985,0.000480
956.0622,0.000546
957.9258,0.000619
959.7895,0.000565
961.6532,0.000388
963.5168,0.000387
965.3805,0.000436
967.2442,0.000377
969.1078,0.000389
970.9715,0.000378
972.8352,0.000405
974.6988,0.000457
976.5625,0.000416
978.4262,0.000428
980.2899,0.000494
982.1535,0.000486
984.0172,0.000483
985.8809,0.000426
987.7445,0.000366
989.6082,0.000375
991.4719,0.000382
993.3355,0.000368
995.1992,0.000433
997.0629,0.000542
998.9265,0.000506
1000.7902,0.000450
1002.6539,0.000450
1004.5175,0.000368
1006.3812,0.000361
1008.2449,0.000434
1010.1086,0.000429
1011.9722,0.000447
1013.8359,0.000432
1015.6996,0.000345
1017.5632,0.000274
1019.4269,0.000279
1021.2906,0.000289
1023.1542,0.000359
1025.0179,0.000417
1026.8816,0.000366
1028.7452,0.000337
1030.6089,0.000324
1032.4726,0.000379
1034.3362,0.000334
1036.1999,0.000323
1038.0636,0.000420
1039.9273,0.000409
1041.7909,0.000302
1043.6546,0.000261
1045.5183,0.000324
1047.3819,0.000262
1049.2456,0.000209
1051.1093,0.000325
1052.9729,0.000359
1054.8366,0.000302
1056.7003,0.000334
1058.5639,0.000365
1060.4276,0.000316
1062.2913,0.000213
1064.1550,0.000111
1066.0186,0.000164
1067.8823,0.000159
1069.7460,0.000131
1071.6096,0.000121
1073.4733,0.000126
1075.3370,0.000141
1077.2006,0.000105
1079.0643,0.000112
1080.9280,0.000173
1082.7916,0.000116
1084.6553,0.000102
1086.5190,0.000206
1088.3826,0.000197
1090.2463,0.000069
1092.1100,0.000098
1093.9737,0.000241
1095.8373,0.000298
1097.7010,0.000218
1099.5647,0.000181
1101.4283,0.000156
1103.2920,0.000104
1105.1557,0.000130
1107.0193,0.000147
1108.8830,0.000111
1110.7467,0.000115
1112.6103,0.000195
1114.4740,0.000270
1116.3377,0.000259
1118.2014,0.000257
1120.0650,0.000294
1121.9287,0.000294
1123.7924,0.000249
1125.6560,0.000226
1127.5197,0.000248
1129.3834,0.000288
1131.2470,0.000311
1133.1107,0.000317
1134.9744,0.000315
1136.8380,0.000317
1138.7017,0.000330
1140.5654,0.000379
1142.4290,0.000485
1144.2927,0.000482
1146.1564,0.000371
1148.0201,0.000329
1149.8837,0.000342
1151.7474,0.000303
1153.6111,0.000273
1155.4747,0.000288
1157.3384,0.000284
1159.2021,0.000265
1161.0657,0.000275
1162.9294,0.000278
1164.7931,0.000300
1166.6567,0.000282
1168.5204,0.000294
1170.3841,0.000293
1172.2477,0.000208
1174.1114,0.000221
1175.9751,0.000232
1177.8388,0.000175
1179.7024,0.000182
1181.5661,0.000201
1183.4298,0.000181
1185.2934,0.000159
1187.1571,0.000164
1189.0208,0.000148
1190.8844,0.000123
1192.7481,0.000075
1194.6118,0.000020
1196.4754,-0.000009
1198.3391,-0.000023
1200.2028,0.000011
1202.0665,0.000063
1203.9301,0.000083
1205.7938,0.000076
1207.6575,0.000011
1209.5211,-0.000079
1211.3848,-0.000074
1213.2485,0.000031
1215.1121,0.000068
1216.9758,0.000086
1218.8395,0.000082
1220.7031,0.000000
1222.5668,-0.000022
1224.4305,-0.000002
1226.2941,-0.000009
1228.1578,-0.000026
1230.0215,-0.000018
1231.8852,0.000004
1233.7488,0.000020
1235.6125,0.000073
1237.4762,0.000011
1239.3398,-0.000069
1241.2035,-0.000107
1243.0672,-0.000032
1244.9308,0.000049
1246.7945,-0.000003
1248.6582,-0.000102
1250.5218,-0.000086
1252.3855,-0.000069
1254.2492,-0.000065
1256.1129,-0.000036
1257.9765,-0.000036
1259.8402,-0.000016
1261.7039,-0.000015
1263.5675,-0.000016
1265.4312,0.000003
1267.2949,0.000004
1269.1585,0.000006
1271.0222,0.000031
1272.8859,0.000016
1274.7495,-0.000063
1276.6132,-0.000062
1278.4769,-0.000007
1280.3405,-0.000055
1282.2042,-0.000014
1284.0679,0.000017
1285.9316,-0.000027
1287.7952,-0.000010
1289.6589,0.000013
1291.5226,-0.000010
1293.3862,-0.000057
1295.2499,-0.000038
1297.1136,-0.000057
1298.9772,-0.000086
1300.8409,-0.000055
1302.7046,-0.000027
1304.5682,-0.000018
1306.4319,-0.000047
1308.2956,-0.000070
1310.1592,0.000033
1312.0229,0.000090
1313.8866,0.000012
1315.7503,0.000026
1317.6139,0.000113
1319.4776,0.000039
1321.3413,-0.000059
1323.2049,-0.000061
1325.0686,-0.000029
1326.9323,0.000008
