Wavenumber,Intensity
600.1014,-0.000016
601.9651,-0.004355
603.8287,-0.007838
605.6924,-0.014199
607.5561,-0.006993
609.4197,0.012355
611.2834,0.019329
613.1471,0.010817
615.0107,-0.001527
616.8744,0.001479
618.7381,0.008799
620.6017,0.013893
622.4654,0.011599
624.3291,0.002256
626.1928,0.000130
628.0564,0.002909
629.9201,0.005011
631.7838,0.006849
633.6474,0.003132
635.5111,0.001495
637.3748,0.001830
639.2384,0.005414
641.1021,0.005426
642.9658,0.001017
644.8294,0.000045
646.6931,0.001093
648.5568,0.001473
650.4205,0.000917
652.2841,0.001632
654.1478,0.001392
656.0115,0.002820
657.8751,0.004780
659.7388,0.003490
661.6025,0.000708
663.4661,0.000712
665.3298,0.003010
667.1935,0.009121
669.0571,0.008658
670.9208,0.002772
672.7845,0.001210
674.6481,0.001445
676.5118,0.003097
678.3755,0.003922
680.2392,0.003321
682.1028,0.002545
683.9665,0.002092
685.8302,0.001786
687.6938,0.002162
689.5575,0.002058
691.4212,0.001725
693.2848,0.001169
695.1485,0.001553
697.0122,0.002525
698.8758,0.002047
700.7395,0.000231
702.6032,0.000034
704.4669,0.000674
706.3305,0.000963
708.1942,0.000879
710.0579,0.000690
711.9215,0.000576
713.7852,0.000658
715.6489,0.000819
717.5125,0.000827
719.3762,0.000333
721.2399,0.000503
723.1035,0.000368
724.9672,0.000149
726.8309,0.000250
728.6945,0.000628
730.5582,0.000122
732.4219,-0.000111
734.2856,0.000581
736.1492,0.000757
738.0129,0.000520
739.8766,0.000569
741.7402,0.000591
743.6039,0.001009
745.4676,0.000996
747.3312,0.000987
749.1949,0.000983
751.0586,0.000697
752.9222,0.000445
754.7859,0.000609
756.6496,0.000443
758.5132,0.000234
760.3769,0.000421
762.2406,0.000881
764.1043,0.000608
765.9679,0.000140
767.8316,0.000051
769.6953,0.000179
771.5589,0.000012
773.4226,0.000328
775.2863,0.000375
777.1499,0.000006
779.0136,-0.000255
780.8773,-0.000413
782.7409,-0.000205
784.6046,-0.000028
786.4683,-0.000218
788.3320,-0.000056
790.1956,-0.000026
792.0593,-0.000418
793.9230,-0.000482
795.7866,-0.000334
797.6503,-0.000363
799.5140,-0.000266
801.3776,-0.000119
803.2413,-0.000123
805.1050,-0.000340
806.9686,-0.000235
808.8323,-0.000130
810.6960,-0.000056
812.5596,0.000009
814.4233,-0.000054
816.2870,-0.000161
818.1507,-0.000244
820.0143,-0.000345
821.8780,-0.000285
823.7417,-0.000404
825.6053,-0.000300
827.4690,-0.000249
829.3327,-0.000168
831.1963,-0.000162
833.0600,-0.000242
834.9237,-0.000204
836.7873,-0.000191
838.6510,-0.000216
840.5147,-0.000296
842.3784,-0.000271
844.2420,-0.000162
846.1057,0.000069
847.9694,0.000154
849.8330,0.000037
851.6967,-0.000017
853.5604,-0.000231
855.4240,-0.000290
857.2877,-0.000165
859.1514,-0.000035
861.0150,-0.000171
862.8787,-0.000358
864.7424,-0.000398
866.6060,-0.000308
868.4697,-0.000255
870.3334,-0.000221
872.1971,-0.000323
874.0607,-0.000424
875.9244,-0.000393
877.7881,-0.000412
879.6517,-0.000570
881.5154,-0.000442
883.3791,-0.000345
885.2427,-0.000501
887.1064,-0.000537
888.9701,-0.000371
890.8337,-0.000383
892.6974,-0.000364
894.5611,-0.000278
896.4247,-0.000386
898.2884,-0.000564
900.1521,-0.000467
902.0158,-0.000446
903.8794,-0.000510
905.7431,-0.000597
907.6068,-0.000633
909.4704,-0.000657
911.3341,-0.000539
913.1978,-0.000452
915.0614,-0.000401
916.9251,-0.000487
918.7888,-0.000631
920.6524,-0.000569
922.5161,-0.000456
924.3798,-0.000660
926.2435,-0.000713
928.1071,-0.000558
929.9708,-0.000493
931.8345,-0.000657
933.6981,-0.000810
935.5618,-0.000927
937.4255,-0.000863
939.2891,-0.000691
941.1528,-0.000699
943.0165,-0.000789
944.8801,-0.000831
946.7438,-0.000955
948.6075,-0.001036
950.4711,-0.001138
952.3348,-0.001207
954.1985,-0.001310
956.0622,-0.001502
957.9258,-0.001521
959.7895,-0.001406
961.6532,-0.001501
963.5168,-0.001688
965.3805,-0.001903
967.2442,-0.002048
969.1078,-0.002161
970.9715,-0.002170
972.8352,-0.002204
974.6988,-0.002322
976.5625,-0.002415
978.4262,-0.002426
980.2899,-0.002588
982.1535,-0.002706
984.0172,-0.002813
985.8809,-0.003008
987.7445,-0.003120
989.6082,-0.003124
991.4719,-0.003286
993.3355,-0.003404
995.1992,-0.003360
997.0629,-0.003305
998.9265,-0.003350
1000.7902,-0.003448
1002.6539,-0.003630
1004.5175,-0.003712
1006.3812,-0.003760
1008.2449,-0.003788
1010.1086,-0.003784
1011.9722,-0.003781
1013.8359,-0.003818
1015.6996,-0.003823
1017.5632,-0.003864
1019.4269,-0.003852
1021.2906,-0.003811
1023.1542,-0.003757
1025.0179,-0.003850
1026.8816,-0.003833
1028.7452,-0.003750
1030.6089,-0.003802
1032.4726,-0.003832
1034.3362,-0.003664
1036.1999,-0.003543
1038.0636,-0.003383
1039.9273,-0.003237
1041.7909,-0.003110
1043.6546,-0.003022
1045.5183,-0.002897
1047.3819,-0.002798
1049.2456,-0.002676
1051.1093,-0.002540
1052.9729,-0.002383
1054.8366,-0.002311
1056.7003,-0.002221
1058.5639,-0.002178
1060.4276,-0.002165
1062.2913,-0.002097
1064.1550,-0.001898
1066.0186,-0.001710
1067.8823,-0.001714
1069.7460,-0.001816
1071.6096,-0.001788
1073.4733,-0.001755
1075.3370,-0.001673
1077.2006,-0.001614
1079.0643,-0.001564
1080.9280,-0.001585
1082.7916,-0.001605
1084.6553,-0.001571
1086.5190,-0.001466
1088.3826,-0.001454
1090.2463,-0.001407
1092.1100,-0.001364
1093.9737,-0.001368
1095.8373,-0.001403
1097.7010,-0.001323
1099.5647,-0.001251
1101.4283,-0.001193
1103.2920,-0.001147
1105.1557,-0.001096
1107.0193,-0.000997
1108.8830,-0.000811
1110.7467,-0.000870
1112.6103,-0.000933
1114.4740,-0.000798
1116.3377,-0.000662
1118.2014,-0.000666
1120.0650,-0.000639
1121.9287,-0.000578
1123.7924,-0.000492
1125.6560,-0.000473
1127.5197,-0.000502
1129.3834,-0.000444
1131.2470,-0.000259
1133.1107,-0.000232
1134.9744,-0.000200
1136.8380,-0.000194
1138.7017,-0.000234
1140.5654,-0.000217
1142.4290,-0.000134
