Wavenumber,Intensity
600.1014,0.059534
601.9651,0.064236
603.8287,0.069242
605.6924,0.063276
607.5561,0.055715
609.4197,0.058044
611.2834,0.059157
613.1471,0.058023
615.0107,0.061985
616.8744,0.054694
618.7381,0.055191
620.6017,0.057985
622.4654,0.054536
624.3291,0.052068
626.1928,0.053410
628.0564,0.057063
629.9201,0.059159
631.7838,0.058574
633.6474,0.055873
635.5111,0.054020
637.3748,0.053324
639.2384,0.053672
641.1021,0.055520
642.9658,0.055210
644.8294,0.053882
646.6931,0.052114
648.5568,0.051000
650.4205,0.050032
652.2841,0.051082
654.1478,0.051455
656.0115,0.050240
657.8751,0.050637
659.7388,0.051115
661.6025,0.051100
663.4661,0.050614
665.3298,0.051495
667.1935,0.053167
669.0571,0.051769
670.9208,0.050503
672.7845,0.049801
674.6481,0.049455
676.5118,0.048692
678.3755,0.047540
680.2392,0.047754
682.1028,0.047753
683.9665,0.047449
685.8302,0.046579
687.6938,0.046352
689.5575,0.046621
691.4212,0.047095
693.2848,0.047628
695.1485,0.047765
697.0122,0.046841
698.8758,0.045861
700.7395,0.045944
702.6032,0.046491
704.4669,0.046511
706.3305,0.046731
708.1942,0.047918
710.0579,0.049519
711.9215,0.050905
713.7852,0.050024
715.6489,0.047130
717.5125,0.044507
719.3762,0.042902
721.2399,0.042140
723.1035,0.041928
724.9672,0.041238
726.8309,0.040582
728.6945,0.040291
730.5582,0.040075
732.4219,0.039649
734.2856,0.039589
736.1492,0.039997
738.0129,0.040078
739.8766,0.040129
741.7402,0.039656
743.6039,0.039581
745.4676,0.039576
747.3312,0.039097
749.1949,0.039067
751.0586,0.039344
752.9222,0.039402
754.7859,0.039366
756.6496,0.039365
758.5132,0.039674
760.3769,0.039455
762.2406,0.038741
764.1043,0.038433
765.9679,0.038446
767.8316,0.038367
769.6953,0.038288
771.5589,0.037954
773.4226,0.037835
775.2863,0.037995
777.1499,0.037965
779.0136,0.037719
780.8773,0.037569
782.7409,0.037480
784.6046,0.037043
786.4683,0.036594
788.3320,0.036509
790.1956,0.036437
792.0593,0.036222
793.9230,0.035870
