Wavenumber,Intensity
600.1014,0.240276
601.9651,0.236928
603.8287,0.222233
605.6924,0.233922
607.5561,0.245157
609.4197,0.239613
611.2834,0.234418
613.1471,0.241102
615.0107,0.242755
616.8744,0.236887
618.7381,0.232066
620.6017,0.227834
622.4654,0.231458
624.3291,0.245267
626.1928,0.249098
628.0564,0.240078
629.9201,0.241460
631.7838,0.241355
633.6474,0.235579
635.5111,0.238291
637.3748,0.241655
639.2384,0.241777
641.1021,0.245076
642.9658,0.247406
644.8294,0.243544
646.6931,0.243143
648.5568,0.246870
650.4205,0.247050
652.2841,0.243996
654.1478,0.239855
656.0115,0.236492
657.8751,0.236905
659.7388,0.239662
661.6025,0.241057
663.4661,0.239584
665.3298,0.238642
667.1935,0.237642
669.0571,0.237157
670.9208,0.237212
672.7845,0.236453
674.6481,0.235275
676.5118,0.233360
678.3755,0.229493
680.2392,0.226295
682.1028,0.223438
683.9665,0.220261
685.8302,0.215905
687.6938,0.211371
689.5575,0.207435
691.4212,0.204082
693.2848,0.200722
695.1485,0.197684
697.0122,0.195354
698.8758,0.194283
700.7395,0.194296
702.6032,0.195296
704.4669,0.196728
706.3305,0.198283
708.1942,0.199934
710.0579,0.202462
711.9215,0.204892
713.7852,0.207395
715.6489,0.210616
717.5125,0.213931
719.3762,0.216490
721.2399,0.217629
723.1035,0.218212
724.9672,0.219561
726.8309,0.219434
728.6945,0.217681
730.5582,0.215835
732.4219,0.214854
734.2856,0.213462
736.1492,0.212406
738.0129,0.212406
739.8766,0.212402
741.7402,0.212086
743.6039,0.211203
745.4676,0.209676
747.3312,0.208830
749.1949,0.208532
751.0586,0.208260
752.9222,0.208322
754.7859,0.208880
756.6496,0.208893
758.5132,0.208995
760.3769,0.208783
762.2406,0.207298
764.1043,0.205065
765.9679,0.202793
767.8316,0.200828
769.6953,0.199035
771.5589,0.197522
773.4226,0.195831
775.2863,0.194148
777.1499,0.193365
779.0136,0.192967
780.8773,0.192300
782.7409,0.192041
784.6046,0.193110
786.4683,0.194414
788.3320,0.195131
790.1956,0.194513
792.0593,0.193880
793.9230,0.193732
795.7866,0.193849
797.6503,0.194702
799.5140,0.196269
801.3776,0.197846
803.2413,0.199535
805.1050,0.201606
806.9686,0.203538
808.8323,0.205371
810.6960,0.207603
812.5596,0.209839
814.4233,0.212007
816.2870,0.213999
818.1507,0.215693
820.0143,0.216773
821.8780,0.217284
823.7417,0.217577
825.6053,0.217999
827.4690,0.219159
829.3327,0.221291
831.1963,0.223717
833.0600,0.227059
834.9237,0.231139
836.7873,0.235671
838.6510,0.240847
840.5147,0.246272
842.3784,0.251501
844.2420,0.257540
